Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.0359773211,3.58622083312,0.0,0.0,4.58992532963,8.1892,136.585902678,123.9990759,3.33988,9.24694677845
 01/01  02:00:00,14.6497574756,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.6695666583,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  04:00:00,14.6778080063,0.0,0.0,0.0,1.52997510988,7.4902,3.93193150618,0.0,3.33988,0.592051506175
 01/01  05:00:00,14.8247939046,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  06:00:00,22.1826486691,3.58622083312,0.0131971789021,0.0,4.58992532963,8.1892,130.564942144,121.623184704,8.3497,0.592057440717
 01/01  07:00:00,38.1318450946,3.58622083312,0.00737103622022,0.0,9.17985065927,19.4245,140.435453788,117.967915004,16.6994,5.76813878461
 01/01  08:00:00,45.5972780387,3.58622083312,0.00745045409215,0.0,9.17985065927,26.9147,135.456017052,105.213457587,25.0491,5.19345946435
 01/01  09:00:00,45.6036465285,3.58622083312,0.0,0.0,9.17985065927,26.9147,145.575076853,106.407809566,33.3988,5.76846728763
 01/01  10:00:00,38.1137610083,3.58622083312,0.0,0.0,9.17985065927,19.4245,147.695900854,116.87901407,25.0491,5.76778678317
 01/01  11:00:00,42.4352012041,3.58622083312,0.00801279759183,0.0,9.17985065927,26.9147,177.502298402,117.699985387,41.7485,18.0538130149
 01/01  12:00:00,42.1437099006,3.58622083312,0.0,0.0,9.17985065927,26.9147,176.322749396,115.938037943,41.7485,18.6362114535
 01/01  13:00:00,41.4196207283,3.58622083312,0.0,0.0,9.17985065927,26.9147,167.528657484,111.26607922,41.7485,14.5140782637
 01/01  14:00:00,33.8970460578,3.58622083312,0.0,0.0,9.17985065927,19.4245,158.680648978,110.768190057,33.3988,14.5136589215
 01/01  15:00:00,33.8976438917,3.58622083312,0.0,0.0,9.17985065927,19.4245,153.283996783,117.239111979,25.0491,10.9957848038
 01/01  16:00:00,36.0013335944,3.58622083312,0.0,0.0,9.17985065927,19.4245,167.334897071,122.938103766,33.3988,10.9979933055
 01/01  17:00:00,45.546447158,3.58622083312,0.00575157423922,0.0,9.17985065927,26.9147,185.435195719,124.339430342,50.0982,10.9975653768
 01/01  18:00:00,45.5513597284,3.58622083312,0.0,0.0,9.17985065927,26.9147,190.037393722,125.425589535,50.0982,14.5136041862
 01/01  19:00:00,45.5567943097,3.58622083312,0.0,0.0,9.17985065927,26.9147,193.667057531,124.931466274,50.0982,18.6373912578
 01/01  20:00:00,38.1997673693,3.58622083312,0.0,0.0,9.17985065927,19.4245,172.867007965,121.41512436,33.3988,18.0530836048
 01/01  21:00:00,38.1820258936,3.58622083312,0.0,0.0,9.17985065927,19.4245,167.088819757,119.177137353,33.3988,14.5128824037
 01/01  22:00:00,38.1129904301,3.58622083312,0.0,0.0,9.17985065927,19.4245,174.842469937,131.74039911,25.0491,18.0529708271
 01/01  23:00:00,38.0043597308,3.58622083312,0.0,0.0,9.17985065927,19.4245,169.521891189,137.726823662,16.6994,15.0956675278
 01/01  24:00:00,38.8151078198,3.58622083312,0.0,0.0,9.17985065927,19.4245,153.872466475,138.017477018,8.3497,7.50528945716
 01/02  01:00:00,22.0544610925,3.58622083312,0.0,0.0,4.58992532963,8.1892,158.06366081,147.794064686,3.33988,6.92971612388
 01/02  02:00:00,14.6134816458,0.0,0.0,0.0,1.52997510988,7.4902,3.93197200453,0.0,3.33988,0.592092004531
 01/02  03:00:00,14.6302195398,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.6422570267,0.0,0.0,0.0,1.52997510988,7.4902,3.93192617679,0.0,3.33988,0.59204617679
 01/02  05:00:00,14.7932647618,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  06:00:00,22.1628745323,3.58622083312,0.00586912012515,0.0,4.58992532963,8.1892,165.222554852,156.280802732,8.3497,0.592052119628
 01/02  07:00:00,38.1240384264,3.58622083312,0.00696950550179,0.0,9.17985065927,19.4245,171.638703965,149.171215891,16.6994,5.76808807396
 01/02  08:00:00,45.5913040594,3.58622083312,0.00868421672856,0.0,9.17985065927,26.9147,189.59612681,142.929906117,25.0491,21.6171206929
 01/02  09:00:00,45.6001869841,3.58622083312,0.00204997389996,0.0,9.17985065927,26.9147,192.453197984,139.220379297,33.3988,19.8340186871
 01/02  10:00:00,38.1135548912,3.58622083312,0.0,0.0,9.17985065927,19.4245,178.966088429,137.632870925,25.0491,16.2841175044
 01/02  11:00:00,42.4268118132,3.58622083312,0.00402838842851,0.0,9.17985065927,26.9147,195.316130277,138.473486909,41.7485,15.0941433682
 01/02  12:00:00,42.1380795649,3.58622083312,0.0,0.0,9.17985065927,26.9147,185.990106876,127.962255011,41.7485,16.2793518647
 01/02  13:00:00,41.4188580237,3.58622083312,0.0,0.0,9.17985065927,26.9147,173.953198247,117.690928261,41.7485,14.5137699856
 01/02  14:00:00,33.8948767834,3.58622083312,0.0,0.0,9.17985065927,19.4245,168.977284855,122.827207538,33.3988,12.7512773168
 01/02  15:00:00,33.8935340906,3.58622083312,0.0,0.0,9.17985065927,19.4245,162.368930155,126.323276903,25.0491,10.9965532519
 01/02  16:00:00,35.998965274,3.58622083312,0.0,0.0,9.17985065927,19.4245,174.31754351,129.920541843,33.3988,10.9982016671
 01/02  17:00:00,45.5428829667,3.58622083312,0.00570909966994,0.0,9.17985065927,26.9147,192.69587648,131.599949176,50.0982,10.9977273039
 01/02  18:00:00,45.5504229352,3.58622083312,0.00234100080692,0.0,9.17985065927,26.9147,190.288865434,125.094866519,50.0982,15.0957989151
 01/02  19:00:00,45.5597058363,3.58622083312,0.00242444339413,0.0,9.17985065927,26.9147,190.897894185,120.96639981,50.0982,19.8332943748
 01/02  20:00:00,38.1993762891,3.58622083312,0.0,0.0,9.17985065927,19.4245,187.156096105,132.13859773,33.3988,21.6186983751
 01/02  21:00:00,38.1801790191,3.58622083312,0.0,0.0,9.17985065927,19.4245,191.506001867,139.471327076,33.3988,18.6358747915
 01/02  22:00:00,38.1112923669,3.58622083312,0.0,0.0,9.17985065927,19.4245,189.555490337,144.673040265,25.0491,19.8333500722
 01/02  23:00:00,38.0034307683,3.58622083312,0.0,0.0,9.17985065927,19.4245,178.05372875,145.073523006,16.6994,16.2808057438
 01/02  24:00:00,38.8143368287,3.58622083312,0.0,0.0,9.17985065927,19.4245,162.375721314,144.776644107,8.3497,9.24937720701
 01/03  01:00:00,22.0555598027,3.58622083312,0.000951915016651,0.0,4.58992532963,8.1892,153.16066487,142.314647352,3.33988,7.50613751832
 01/03  02:00:00,14.6214449909,0.0,0.0,0.0,1.52997510988,7.4902,3.93192947272,0.0,3.33988,0.592049472716
 01/03  03:00:00,14.6371402488,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  04:00:00,14.647445858,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  05:00:00,15.3108738444,0.0,0.0,0.0,1.52997510988,7.4902,3.93193541207,0.0,3.33988,0.592055412071
 01/03  06:00:00,22.6740704955,3.58622083312,0.00550663132441,0.0,4.58992532963,8.1892,170.276883632,161.907183632,8.3497,0.02
 01/03  07:00:00,38.352147777,3.58622083312,0.00729972632446,0.0,9.17985065927,19.4245,170.290822782,147.823551467,16.6994,5.7678713149
 01/03  08:00:00,45.59394159,3.58622083312,0.0107990525177,0.0,9.17985065927,26.9147,183.264791369,136.595593291,25.0491,21.6200980779
 01/03  09:00:00,45.6003369106,3.58622083312,0.00201559162064,0.0,9.17985065927,26.9147,193.384454322,139.568085322,33.3988,20.417569
 01/03  10:00:00,38.1123675383,3.58622083312,0.0,0.0,9.17985065927,19.4245,186.69285089,145.364074029,25.0491,16.2796768614
 01/03  11:00:00,42.428031382,3.58622083312,0.00648303502123,0.0,9.17985065927,26.9147,195.60065268,139.338610033,41.7485,14.5135426466
 01/03  12:00:00,42.1397331177,3.58622083312,0.0,0.0,9.17985065927,26.9147,186.219959855,128.189411862,41.7485,16.2820479927
 01/03  13:00:00,41.419008176,3.58622083312,0.0,0.0,9.17985065927,26.9147,177.6944776,120.851727341,41.7485,15.0942502584
 01/03  14:00:00,33.8938921044,3.58622083312,0.0,0.0,9.17985065927,19.4245,166.293725732,120.140897514,33.3988,12.7540282182
 01/03  15:00:00,33.8939311551,3.58622083312,0.0,0.0,9.17985065927,19.4245,160.677002184,124.630930262,25.0491,10.9969719218
 01/03  16:00:00,35.998265833,3.58622083312,0.0,0.0,9.17985065927,19.4245,172.027920394,127.631432354,33.3988,10.9976880404
 01/03  17:00:00,45.5443843344,3.58622083312,0.00729600846512,0.0,9.17985065927,26.9147,186.883463318,125.786325495,50.0982,10.9989378227
 01/03  18:00:00,45.5475935922,3.58622083312,0.0,0.0,9.17985065927,26.9147,196.041785627,131.429193235,50.0982,14.5143923916
 01/03  19:00:00,45.5570456086,3.58622083312,0.00270241909303,0.0,9.17985065927,26.9147,194.11378596,123.598822353,50.0982,20.4167636066
 01/03  20:00:00,38.0586284453,3.58622083312,0.0,0.0,9.17985065927,19.4245,172.429055323,117.413177765,33.3988,21.6170775583
 01/03  21:00:00,38.0508798232,3.58622083312,0.0,0.0,9.17985065927,19.4245,167.041897226,115.589840679,33.3988,18.0532565467
 01/03  22:00:00,38.0120419962,3.58622083312,0.0,0.0,9.17985065927,19.4245,172.590930692,127.707318839,25.0491,19.8345118531
 01/03  23:00:00,38.0046442761,3.58622083312,0.0,0.0,9.17985065927,19.4245,175.582653158,142.022132867,16.6994,16.861120291
 01/03  24:00:00,38.81369771,3.58622083312,0.0,0.0,9.17985065927,19.4245,169.038027673,151.442448224,8.3497,9.24587944817
 01/04  01:00:00,22.0517530801,3.58622083312,0.0,0.0,4.58992532963,8.1892,173.090222731,162.244339208,3.33988,7.50600352352
 01/04  02:00:00,14.6072112457,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  03:00:00,14.6234607115,0.0,0.0,0.0,1.52997510988,7.4902,3.93192819882,0.0,3.33988,0.592048198816
 01/04  04:00:00,14.6385409743,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  05:00:00,14.7906611295,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
