Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,532.005773819,94.8185755774,90.6830117716,0.0,34.9616554283,113.312780494,846.986320757,823.803272809,5.66466996096,17.5183779871
 01/01  02:00:00,568.299640542,94.8185755774,138.54808712,0.0,34.9616554283,113.312780494,769.149675839,745.965173333,5.66466996096,17.5198325459
 01/01  03:00:00,574.084744068,94.8185755774,144.781373166,0.0,34.9616554283,113.312780494,807.733494086,775.799588552,5.66466996096,26.2692355726
 01/01  04:00:00,570.504696777,94.8185755774,139.119588996,0.0,34.9616554283,113.312780494,844.11005144,820.92482279,5.66466996096,17.5205586885
 01/01  05:00:00,573.093424357,94.8185755774,132.338005753,0.0,44.4937663224,113.312780494,868.291041637,845.108985651,5.66466996096,17.5173860247
 01/01  06:00:00,568.750910767,94.8185755774,126.345106118,0.0,44.4937663224,113.312780494,911.519120605,871.089717789,14.1616749024,26.267727913
 01/01  07:00:00,633.039554656,94.8185755774,116.495495118,0.0,54.0258772165,176.889270242,886.956607829,841.115081724,28.3233498048,17.5181762996
 01/01  08:00:00,642.703205713,94.8185755774,118.425775485,0.0,54.0258772165,184.38654557,895.066718403,826.315045568,42.4850247072,26.2666481281
 01/01  09:00:00,714.653763085,94.8185755774,109.381645379,0.0,65.1572554096,220.04316451,909.887467345,826.80120711,56.6466996096,26.4395606257
 01/01  10:00:00,695.792999598,94.8185755774,95.905194189,0.0,65.1572554096,212.545889182,932.697307793,854.744302056,42.4850247072,35.4679810301
 01/01  11:00:00,683.615954432,94.8185755774,85.0854723556,0.0,65.1572554096,220.04316451,973.719653605,867.201333401,70.808374512,35.7099456923
 01/01  12:00:00,676.361886913,94.8185755774,80.3674827817,0.0,65.1572554096,220.04316451,974.74941026,859.290491233,70.808374512,44.6505445153
 01/01  13:00:00,675.407277648,94.8185755774,80.1970293211,0.0,65.1572554096,220.04316451,949.187891455,842.661599231,70.808374512,35.7179177126
 01/01  14:00:00,674.618022795,94.8185755774,87.0743846173,0.0,65.1572554096,212.545889182,916.807567121,815.519136694,56.6466996096,44.6417308175
 01/01  15:00:00,664.816617369,94.8185755774,76.8692086165,0.0,65.1572554096,212.545889182,929.358690508,842.224297739,42.4850247072,44.6493680616
 01/01  16:00:00,660.232966882,94.8185755774,62.0016905589,0.0,65.1572554096,212.545889182,971.296218227,878.936080502,56.6466996096,35.7134381149
 01/01  17:00:00,635.075532429,94.8185755774,51.9802004197,0.0,65.1572554096,220.04316451,1048.59534064,918.979522178,84.9700494144,44.6457690489
 01/01  18:00:00,582.597460003,94.8185755774,44.161460871,0.0,54.0258772165,184.38654557,1088.91112323,968.466593632,84.9700494144,35.4744801875
 01/01  19:00:00,549.179606101,94.8185755774,35.0795783042,0.0,44.4937663224,163.454314868,1139.52274142,1037.03425201,84.9700494144,17.5184399923
 01/01  20:00:00,546.683452883,94.8185755774,41.0275834053,0.0,44.4937663224,155.95703954,1062.69979925,979.786117201,56.6466996096,26.2669824444
 01/01  21:00:00,516.061671319,94.8185755774,43.2843782105,0.0,44.4937663224,124.558693486,1062.14402715,987.978368702,56.6466996096,17.51895884
 01/01  22:00:00,508.204159446,94.8185755774,31.2156810613,0.0,44.4937663224,124.558693486,1127.39878394,1067.39624041,42.4850247072,17.5175188256
 01/01  23:00:00,499.056933657,94.8185755774,25.2103147992,0.0,34.9616554283,124.558693486,1156.73345309,1102.14042132,28.3233498048,26.2696819606
 01/01  24:00:00,500.163684928,94.8185755774,24.9687497205,0.0,34.9616554283,124.558693486,1124.70610236,1093.0235739,14.1616749024,17.5208535608
 01/02  01:00:00,496.491061612,94.8185755774,20.805153529,0.0,46.0930336215,113.312780494,1135.53132958,1112.34900694,5.66466996096,17.5176526843
 01/02  02:00:00,497.451847728,94.8185755774,22.2020783005,0.0,46.0930336215,113.312780494,1126.43809312,1094.50528123,5.66466996096,26.2681419302
 01/02  03:00:00,488.399764287,94.8185755774,12.6629078817,0.0,46.0930336215,113.312780494,1174.88790489,1151.70478649,5.66466996096,17.5184484352
 01/02  04:00:00,485.105200943,94.8185755774,8.9409128473,0.0,46.0930336215,113.312780494,1189.80758223,1157.87585252,5.66466996096,26.2670597398
 01/02  05:00:00,574.079787561,94.8185755774,10.8597280326,0.0,100.150657288,148.969399434,1124.81957291,1101.63585137,5.66466996096,17.5190515794
 01/02  06:00:00,576.288217477,94.8185755774,10.9012350037,0.0,100.150657288,149.894399434,1695.37621867,1663.69400546,14.1616749024,17.5205383047
