Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,151.488648237,30.3897031295,26.2973945095,1.36721973179,34.4311606118,33.1021868926,288.021609094,101.138402358,3.33212,183.551086736
 01/01  02:00:00,147.857278618,30.3897031295,23.0489882648,1.08186497889,34.4311606118,33.1021868926,214.309147601,68.6425772551,3.33212,142.334450346
 01/01  03:00:00,126.65536264,30.3897031295,19.3058650051,1.0994752853,19.466279405,30.610668775,203.4395417,61.5804998803,3.33212,138.52692182
 01/01  04:00:00,124.970894961,30.3897031295,17.63205691,1.07044423059,19.466279405,30.610668775,203.564732366,60.3109864367,3.33212,139.92162593
 01/01  05:00:00,133.090883381,30.3897031295,19.2401070666,0.97417229133,19.466279405,30.610668775,248.778266237,59.7158571029,3.33212,185.730289134
 01/01  06:00:00,147.177408015,30.3897031295,21.1666902224,0.860422917824,19.466279405,30.610668775,302.673125663,59.5698974113,8.3303,234.772928251
 01/01  07:00:00,227.939294264,30.3897031295,30.6226445556,0.577301754275,42.6918050922,54.3732441037,405.219560835,59.5647317289,16.6606,328.994229106
 01/01  08:00:00,312.512636473,35.0205599155,54.8414491972,0.0,49.3960418185,88.5934452969,912.89864764,335.806525127,24.9909,552.101222514
 01/01  09:00:00,369.561324074,35.0122967196,80.1129415873,0.0,57.6566862989,112.030105488,1187.42612271,376.999713658,33.3212,777.105209053
 01/01  10:00:00,292.280193152,35.091201143,58.9240574504,0.0,50.9524495726,81.1684271793,1012.23457216,386.672452732,66.8089,558.75321943
 01/01  11:00:00,213.616827453,35.1362658748,36.435067925,0.0,42.6918050922,68.9656133826,917.666436364,409.759374217,83.4695,424.437562147
 01/01  12:00:00,199.412726382,35.1771074601,31.5047155445,0.0,38.286128036,68.9656133826,842.192961158,423.940486556,83.4695,334.782974603
 01/01  13:00:00,195.99822289,35.1830496088,28.955805955,0.0,38.286128036,68.9656133826,747.193541877,422.849923904,83.4695,240.874117973
 01/01  14:00:00,178.496338332,35.2050499748,30.3741260996,0.0,31.5818913096,56.727595265,744.440492995,427.897451965,75.1392,241.40384103
 01/01  15:00:00,175.603204603,35.2120703069,27.467645637,0.0,31.5818913096,56.727595265,742.189511757,437.040890801,66.8089,238.339720956
 01/01  16:00:00,175.211779458,35.1970199505,21.5043189967,0.0,31.5818913096,56.727595265,773.030849221,456.086641365,75.1392,241.805007856
 01/01  17:00:00,212.038071698,35.0288367766,18.0646077015,0.0,31.5818913096,61.661095265,741.149311555,461.462471222,91.7998,187.887040333
 01/01  18:00:00,247.172947528,35.0080694406,25.4611279448,0.0,31.5818913096,70.9729253606,770.882179466,485.129662382,49.9818,235.770717084
 01/01  19:00:00,319.651602147,35.0038421615,36.2181406127,0.0,80.3315023541,83.7685254822,828.949391391,497.188226378,49.9818,281.779365014
 01/01  20:00:00,336.699854295,35.0080694406,49.3598353285,0.0,102.000620287,77.6748002752,890.153658705,481.840006559,33.3212,374.992452146
 01/01  21:00:00,365.960699925,35.0122967196,58.1135083321,0.0,108.704857014,91.4735406516,866.251950638,462.519702325,33.3212,370.411048313
 01/01  22:00:00,337.939632762,35.0292058357,58.2247316779,0.0,95.2963835608,89.1510273009,871.841677946,470.845784648,24.9909,376.004993298
 01/01  23:00:00,283.485781459,35.0122967196,56.9183916124,0.0,80.3315023541,63.3799339444,1055.7218997,492.985319691,16.6606,546.075980011
 01/01  24:00:00,197.553772783,35.0292058357,35.3131757052,0.0,42.6918050922,48.4199368926,834.510215428,506.985849413,8.3303,319.194066015
