Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,110.130725581,21.7004162263,0.0,17.7275621373,4.12243109448,15.9888894789,115.862851454,112.871121036,2.97173041782,0.02
 01/02  02:00:00,98.5202230046,18.0836801886,0.0,15.7118858086,4.12243109448,15.9888894789,96.0427774063,93.0510469885,2.97173041782,0.02
 01/02  03:00:00,116.680456383,22.6046002357,0.0,21.6094758028,4.12243109448,15.9888894789,122.557553547,119.565823129,2.97173041782,0.02
 01/02  04:00:00,100.648614505,18.0836801886,0.0,17.7554847703,4.12243109448,15.9888894789,102.397500978,99.4057705604,2.97173041782,0.02
 01/02  05:00:00,143.341663263,26.7401462695,0.0,20.3061661377,12.3672932834,24.9413748627,145.616773832,140.643889802,4.9528840297,0.02
 01/02  06:00:00,170.058079166,26.3612158714,0.0,47.9267507084,12.3672932834,24.9413748627,189.681091103,184.708207073,4.9528840297,0.02
 01/02  07:00:00,228.654709578,27.1723887533,0.0,48.683470335,24.7345865669,70.7195625826,222.497304989,212.57153693,9.90576805939,0.02
 01/02  08:00:00,247.462671668,27.2246644608,0.0,35.7087138566,37.1018798503,92.3937384068,214.743430566,204.817662506,9.90576805939,0.02
 01/02  09:00:00,253.97898998,27.2473276988,0.0,31.6928019855,37.1018798503,104.434947198,205.864353116,195.938585056,9.90576805939,0.02
 01/02  10:00:00,261.888490785,27.2604020658,0.0,29.1803972771,37.1018798503,116.476155989,202.777583346,184.231462516,9.90576805939,8.64035276991
 01/02  11:00:00,248.701534533,27.2711029132,0.0,27.0749652477,37.1018798503,116.476155989,197.471217627,178.918175444,9.90576805939,8.64727412292
 01/02  12:00:00,242.750787278,27.2813525442,0.352667575205,24.9588465808,37.1018798503,116.476155989,179.86979585,169.944027791,9.90576805939,0.02
 01/02  13:00:00,228.343949211,27.2919333463,1.03806402348,21.8419684091,37.1018798503,104.434947198,181.638912718,163.089913324,9.90576805939,8.64323133434
 01/02  14:00:00,236.315766897,27.301987352,0.60329990388,20.0046516625,37.1018798503,116.476155989,179.854926054,161.299620567,9.90576805939,8.64953742679
 01/02  15:00:00,235.230314257,27.3105792991,1.12001932314,18.9396836696,37.1018798503,116.476155989,168.740098119,158.81433006,9.90576805939,0.02
 01/02  16:00:00,239.749391357,27.3209617477,1.44679098527,18.647722835,37.1018798503,116.476155989,175.009358632,156.458698354,9.90576805939,8.64489221829
 01/02  17:00:00,249.737700283,27.3423976173,0.601082380789,18.5325318249,37.1018798503,116.476155989,177.362272626,158.818083108,9.90576805939,8.63842145813
 01/02  18:00:00,249.172515862,27.3653788894,0.801358237872,17.9518408433,37.1018798503,116.476155989,167.919915588,157.994147529,9.90576805939,0.02
 01/02  19:00:00,154.122431048,25.9693982427,0.0326594107923,1.19923668866,24.7345865669,47.5788473902,104.016736572,99.0438525421,4.9528840297,0.02
 01/02  20:00:00,158.28727978,25.9693982427,0.0,2.1047923764,24.7345865669,47.5788473902,119.014051222,114.041167192,4.9528840297,0.02
 01/02  21:00:00,146.602102484,26.7401462695,0.0,8.70536074427,12.3672932834,38.6892022431,151.532205008,139.948472455,2.97173041782,8.61200213503
 01/02  22:00:00,120.581267687,21.3921170156,0.0,9.11253288447,12.3672932834,27.0668015668,118.815701837,115.82397142,2.97173041782,0.02
