Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,60.018710245,4.5103373941,0.0,0.0,15.863942322,29.242365,141.828715314,138.603035314,3.20568,0.02
 01/01  02:00:00,59.2566172304,3.83519125921,0.0,0.0,15.863942322,29.242365,106.137403205,100.047971355,3.20568,2.88375185004
 01/01  03:00:00,60.3882814363,4.82517643361,0.0,0.0,15.863942322,29.242365,151.386232883,148.160552883,3.20568,0.02
 01/01  04:00:00,59.2072407007,3.77281654002,0.0,0.0,15.863942322,29.242365,108.465116258,102.375762917,3.20568,2.88367334007
 01/01  05:00:00,60.5868843485,4.80958275381,0.0,0.0,15.863942322,29.242365,152.863207542,149.637527542,3.20568,0.02
 01/01  06:00:00,59.4504797569,3.81959757941,0.0,0.0,15.863942322,29.242365,108.930684484,102.841251423,3.20568,2.88375306083
 01/01  07:00:00,60.4878458781,4.71602067503,0.0,0.0,15.863942322,29.242365,151.834844806,148.609164806,3.20568,0.02
 01/01  08:00:00,59.2341462608,3.71651291951,0.0,0.0,15.863942322,29.242365,92.6480550579,86.5586613547,3.20568,2.8837137032
 01/01  09:00:00,59.9592980072,4.3803406263,0.0,0.0,15.863942322,29.242365,112.616911933,109.391231933,3.20568,0.02
 01/01  10:00:00,59.3190450467,3.76871015352,0.0,0.0,15.863942322,29.242365,93.7354105347,87.6440010325,3.20568,2.88572950224
 01/01  11:00:00,54.3401421818,4.40069559665,0.0,0.0,15.863942322,29.242365,138.736715664,132.645168286,3.20568,2.88586737809
 01/01  12:00:00,51.2490867578,3.50427250104,0.0,0.0,15.863942322,29.242365,93.0071287103,86.9157519332,3.20568,2.88569677715
 01/01  13:00:00,51.3339516004,4.29892074488,0.0,0.0,15.863942322,29.242365,115.998268725,109.906754063,3.20568,2.88583466231
 01/01  14:00:00,50.4366845927,3.4494289749,0.0,0.0,15.863942322,29.242365,77.0453976517,73.8197176517,3.20568,0.02
 01/01  15:00:00,51.5188790411,4.4779824157,0.0,0.0,15.863942322,29.242365,115.141239526,109.051891613,3.20568,2.88366791278
 01/01  16:00:00,53.4265423952,3.61277335556,0.0,0.0,15.863942322,29.242365,88.9722708768,85.7465908768,3.20568,0.02
 01/01  17:00:00,60.1022687356,4.55663239462,0.0,0.0,15.863942322,29.242365,150.883901304,144.79449317,3.20568,2.88372813392
 01/01  18:00:00,59.287136386,3.83519125921,0.0,0.0,15.863942322,29.242365,108.374891868,105.149211868,3.20568,0.02
 01/01  19:00:00,60.3169602515,4.76280171442,0.0,0.0,15.863942322,29.242365,160.175511501,154.086082094,3.20568,2.8837494078
 01/01  20:00:00,59.4855762756,3.81959757941,0.0,0.0,15.863942322,29.242365,111.305653061,108.079973061,3.20568,0.02
 01/01  21:00:00,60.5359495741,4.77839539421,0.0,0.0,15.863942322,29.242365,158.986702681,152.897262934,3.20568,2.88375974733
 01/01  22:00:00,59.4803514235,3.83519125921,0.0,0.0,15.863942322,29.242365,142.168693504,138.943013504,3.20568,0.02
 01/01  23:00:00,60.5813895177,4.8563637932,0.0,0.0,15.863942322,29.242365,212.445702992,206.356272163,3.20568,2.88375082852
 01/01  24:00:00,60.1588434136,3.8663786188,0.0,0.0,15.863942322,29.242365,142.091315065,137.58745278,3.20568,1.29818228536
 01/02  01:00:00,60.6110698514,4.8563637932,0.0,0.0,15.863942322,29.242365,203.973223147,199.161331491,3.20568,1.60621165679
 01/02  02:00:00,59.4202952987,3.8663786188,0.0,0.0,15.863942322,29.242365,144.073143219,137.981542013,3.20568,2.8859212058
 01/02  03:00:00,60.6621332447,4.871957473,0.0,0.0,15.863942322,29.242365,210.304212333,204.212596584,3.20568,2.88593574881
 01/02  04:00:00,59.482166125,3.8975659784,0.0,0.0,15.863942322,29.242365,152.007897648,145.916299057,3.20568,2.88591859091
 01/02  05:00:00,60.9046839242,4.871957473,0.0,0.0,15.863942322,29.242365,211.669974923,208.444294923,3.20568,0.02
 01/02  06:00:00,59.6920806526,3.8975659784,0.0,0.0,15.863942322,29.242365,152.602531664,146.510949417,3.20568,2.88590224778
 01/02  07:00:00,65.8629844693,5.8463489676,0.0,0.0,15.863942322,29.818365,687.973863285,681.882297376,3.20568,2.88588590882
 01/02  08:00:00,130.670249631,5.8463489676,0.0,0.0,80.527626,29.818365,589.940932839,580.97321018,3.20568,5.76204265923
 01/02  09:00:00,175.451167373,5.8463489676,0.0,0.0,80.527626,75.0917375,564.846089273,529.194919283,24.0426,11.6085699895
