Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.2617761773,1.9173581838,0.0,0.0,1.85583932782,5.577,72.4406019835,66.5521280682,3.0011,2.88737391528
 01/01  02:00:00,9.47382009621,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.4940189992,0.0,0.0,0.0,0.618613109274,5.0,3.59316857195,0.0,3.0011,0.592068571954
 01/01  04:00:00,9.50583656209,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.65495122001,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,13.4110438776,1.9173581838,0.0,0.0,1.85583932782,5.577,70.764895422,65.6711580235,4.50165,0.592087398435
 01/01  07:00:00,27.8879295657,1.9173581838,0.0,0.0,3.71167865564,18.077,74.9663281203,59.7231614373,13.50495,1.73821668297
 01/01  08:00:00,27.8404942827,1.9173581838,0.0,0.0,3.71167865564,18.077,78.4608549709,55.7149334825,21.0077,1.73822148835
 01/01  09:00:00,22.8388555622,1.9173581838,0.0,0.0,3.71167865564,13.077,75.6614061178,58.3445952985,15.0055,2.3113108193
 01/01  10:00:00,22.8461367686,1.9173581838,0.0,0.0,3.71167865564,13.077,76.8796654432,60.1358070568,15.0055,1.73835838636
 01/01  11:00:00,25.9432076854,1.9173581838,0.0,0.0,3.71167865564,18.077,97.3583394989,58.5770996565,33.0121,5.76913984231
 01/01  12:00:00,26.465396753,1.9173581838,0.0,0.0,3.71167865564,18.077,101.695018027,55.4118217993,40.51485,5.76834622811
 01/01  13:00:00,25.5258091855,1.9173581838,0.0,0.0,3.71167865564,18.077,94.4408600686,53.8152712974,36.0132,4.61238877113
 01/01  14:00:00,25.3257914119,1.9173581838,0.0,0.0,3.71167865564,18.077,89.4807680731,53.3569513975,31.51155,4.61226667559
 01/01  15:00:00,20.3300339463,1.9173581838,0.0,0.0,3.71167865564,13.077,82.9473577431,58.4779840279,21.0077,3.46167371514
 01/01  16:00:00,21.5808425059,1.9173581838,0.0,0.0,3.71167865564,13.077,84.7105511781,61.7412099749,19.50715,3.46219120321
 01/01  17:00:00,22.764128883,1.9173581838,0.0,0.0,3.71167865564,13.077,90.0866536851,64.1164299503,22.50825,3.46197373476
 01/01  18:00:00,27.7661050815,1.9173581838,0.0,0.0,3.71167865564,18.077,93.9296864378,63.8071464358,25.50935,4.61319000198
