Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,100.97434119,26.2005186505,0.0,0.0,3.49369000822,6.81298672936,64.6184380525,62.8471880525,1.75125,0.02
 01/01  02:00:00,102.514353438,27.4458854804,0.0,0.0,3.49369000822,6.81298672936,53.7735586819,52.0023086819,1.75125,0.02
 01/01  03:00:00,93.4221255222,18.2972569869,0.0,0.0,3.49369000822,6.81298672936,42.8087193736,39.8930965175,1.75125,1.16437285618
 01/01  04:00:00,102.370760818,27.4458854804,0.0,0.0,3.49369000822,6.81298672936,71.6894629211,69.9182129211,1.75125,0.02
 01/01  05:00:00,109.981092391,28.2331908851,0.0,0.0,3.49369000822,6.81298672936,74.0975533405,72.3263033405,1.75125,0.02
 01/01  06:00:00,100.414201673,19.0845623917,0.0,0.0,3.49369000822,6.81298672936,58.3651479423,55.4495371428,1.75125,1.16436079947
 01/01  07:00:00,135.191711161,40.4332731227,0.0,0.0,6.98738001645,14.1499734587,608.460313063,604.937813063,3.5025,0.02
 01/01  08:00:00,144.372184697,40.4332731227,0.0,0.0,6.98738001645,14.1499734587,539.748898999,535.082018544,3.5025,1.16438045501
 01/01  09:00:00,179.829513367,40.4332731227,0.0,0.0,6.98738001645,14.1499734587,480.81049179,477.28799179,3.5025,0.02
 01/01  10:00:00,152.423660485,40.4332731227,0.0,0.0,6.98738001645,14.1499734587,480.012052946,475.345041809,3.5025,1.1645111368
 01/01  11:00:00,176.80208987,40.4332731227,0.0,0.0,27.9495200658,27.7759469175,456.710391031,448.540480789,7.005,1.16491024145
 01/01  12:00:00,204.787330478,40.4332731227,0.0,0.0,27.9495200658,27.7759469175,444.992201671,436.822286792,7.005,1.16491487894
 01/01  13:00:00,211.908952654,40.4332731227,0.0,0.0,41.9242800987,36.8599292233,419.075306195,408.570206397,9.34,1.16509979732
 01/01  14:00:00,209.066305962,40.4332731227,0.0,0.0,41.9242800987,36.8599292233,407.227056523,396.721890532,9.34,1.16516599047
 01/01  15:00:00,205.278822379,40.4332731227,0.0,0.0,41.9242800987,36.8599292233,409.596858446,399.091717526,9.34,1.16514091987
 01/01  16:00:00,208.63286349,40.4332731227,0.0,0.0,41.9242800987,36.8599292233,417.949836441,407.444627531,9.34,1.16520891054
 01/01  17:00:00,215.390980281,40.4332731227,0.0,0.0,41.9242800987,36.8599292233,426.770405214,416.265315139,9.34,1.16509007546
 01/01  18:00:00,186.901932006,40.4332731227,0.0,0.0,27.9495200658,27.7759469175,502.146398834,493.976341085,7.005,1.1650577487
 01/01  19:00:00,193.449504353,40.4332731227,0.0,0.0,13.9747600329,18.6919646116,530.081679249,524.246771664,4.67,1.16490758454
 01/01  20:00:00,173.272974312,40.4332731227,0.0,0.0,13.9747600329,18.6919646116,525.717146221,519.882321205,4.67,1.16482501608
 01/01  21:00:00,164.509062896,40.4332731227,0.0,0.0,13.9747600329,18.6919646116,522.960675836,518.270675836,4.67,0.02
 01/01  22:00:00,150.440446054,40.4332731227,0.0,0.0,13.9747600329,18.6919646116,496.927820147,491.093238567,4.67,1.1645815805
 01/01  23:00:00,84.013608558,7.69280486368,0.0,0.0,3.49369000822,6.81298672936,25.8077312127,24.0364812127,1.75125,0.02
 01/01  24:00:00,131.644033132,18.9917617045,0.0,0.0,3.49369000822,6.81298672936,45.2757818541,42.3601982431,1.75125,1.16433361094
