Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.2391916701,3.67459065693,0.0,0.0,4.58992532963,8.1892,61.8845209344,52.1954669484,3.33988,6.34917398603
 01/01  02:00:00,14.7598568068,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.7827051739,0.0,0.0,0.0,1.52997510988,7.4902,3.93193049734,0.0,3.33988,0.592050497337
 01/01  04:00:00,14.7903548194,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.9285634295,0.0,0.0,0.0,1.52997510988,7.4902,3.93193643506,0.0,3.33988,0.592056435059
 01/01  06:00:00,22.3506736861,3.67459065693,0.0,0.0,4.58992532963,8.1892,75.27675829,66.90705829,8.3497,0.02
 01/01  07:00:00,38.3195999141,3.67459065693,0.00969677595524,0.0,9.17985065927,19.4245,78.5812219113,57.8443362967,16.6994,4.03748561468
 01/01  08:00:00,42.6116380941,3.67459065693,0.0096505819388,0.0,9.17985065927,26.9147,74.8224484862,45.7360556152,25.0491,4.03729287099
 01/01  09:00:00,41.5708643086,3.67459065693,0.000959717031802,0.0,9.17985065927,26.9147,74.3631422384,36.926216705,33.3988,4.03812553333
 01/01  10:00:00,34.1069879631,3.67459065693,0.0,0.0,9.17985065927,19.4245,63.922958071,34.8354296612,25.0491,4.03842840978
 01/01  11:00:00,41.6157464431,3.67459065693,0.00363360387353,0.0,9.17985065927,26.9147,83.5687850203,29.0680502838,41.7485,12.7522347365
 01/01  12:00:00,42.3412193467,3.67459065693,0.0,0.0,9.17985065927,26.9147,78.6140992375,24.1139178787,41.7485,12.7516813588
 01/01  13:00:00,41.6780081211,3.67459065693,0.0,0.0,9.17985065927,26.9147,69.0116406213,16.8507444887,41.7485,10.4123961326
 01/01  14:00:00,34.1633224868,3.67459065693,0.0,0.0,9.17985065927,19.4245,59.0548774639,15.2426136524,33.3988,10.4134638114
 01/01  15:00:00,34.1897064721,3.67459065693,0.0,0.0,9.17985065927,19.4245,42.9235485378,10.3667535004,25.0491,7.50769503741
 01/01  16:00:00,34.1807947085,3.67459065693,0.0,0.0,9.17985065927,19.4245,50.4665166566,8.98409122738,33.3988,8.08362542922
 01/01  17:00:00,42.6443171543,3.67459065693,0.00160206142049,0.0,9.17985065927,26.9147,74.4688520083,16.8619850627,50.0982,7.50866694564
 01/01  18:00:00,45.8195873375,3.67459065693,0.0,0.0,9.17985065927,26.9147,80.9903928259,20.4786043709,50.0982,10.413588455
