Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,181.776452666,32.7483518292,55.9506356683,0.0,34.4311606118,33.1021868926,157.41948376,31.0387382,3.33212,123.04862556
 01/01  02:00:00,174.637278062,32.7483518292,48.806678731,0.0,34.4311606118,33.1021868926,118.657208363,26.9998119914,3.33212,88.3252763714
 01/01  03:00:00,151.712233042,32.7483518292,43.4001656642,0.0,19.466279405,30.610668775,120.891898894,24.0244759978,3.33212,93.535302896
 01/01  04:00:00,148.076022604,32.7483518292,39.7913551738,0.0,19.466279405,30.610668775,119.344018625,21.9468331629,3.33212,94.0650654623
 01/01  05:00:00,152.993990672,32.7483518292,38.1597618595,0.0,19.466279405,30.610668775,146.868822828,20.6602311426,3.33212,122.876471686
 01/01  06:00:00,165.2228674,32.7483518292,38.1663154019,0.0,19.466279405,30.610668775,182.323874992,20.020773711,8.3303,153.972801281
 01/01  07:00:00,250.106590388,35.0275157334,49.2637102925,0.0,42.6918050922,54.3732441037,252.193918605,19.4725817731,16.6606,216.060736832
 01/01  08:00:00,323.7579836,37.3726525843,77.6419440528,0.0,49.3960418185,88.5934452969,492.434679859,101.072143146,24.9909,366.371636713
 01/01  09:00:00,375.850948459,37.3066796375,103.294450995,0.0,57.6566862989,112.030105488,652.996050202,103.048521108,33.3212,516.626329093
 01/01  10:00:00,317.837232482,37.8693612833,100.823628156,0.0,50.9524495726,81.1684271793,516.994869527,78.1892257244,66.8089,371.996743803
 01/01  11:00:00,272.480504281,37.9936306196,100.662417717,0.0,42.6918050922,68.9656133826,424.250715642,51.7369065304,83.4695,289.044309111
 01/01  12:00:00,269.039685568,38.030403887,101.122145326,0.0,38.286128036,68.9656133826,351.610157791,42.6730451465,83.4695,225.467612645
 01/01  13:00:00,268.523424967,38.06856481,101.435687418,0.0,38.286128036,68.9656133826,284.272128856,38.2140932752,83.4695,162.588535581
 01/01  14:00:00,249.069258356,38.1002222862,100.846435349,0.0,31.5818913096,56.727595265,278.282603116,40.5119495003,75.1392,162.631453616
 01/01  15:00:00,246.854348858,38.1292451799,98.2974229152,0.0,31.5818913096,56.727595265,249.292091924,20.2824150124,66.8089,162.200776912
 01/01  16:00:00,249.474181158,38.1611672014,100.780605018,0.0,31.5818913096,56.727595265,245.797832381,8.45887543182,75.1392,162.199756949
 01/01  17:00:00,267.634210719,37.8591962602,87.9076520787,0.0,31.5818913096,61.661095265,248.436254461,26.9728482384,91.7998,129.663606223
 01/01  18:00:00,302.322032446,37.3066796375,81.6690878294,0.0,31.5818913096,70.9729253606,250.574067013,46.1846827065,49.9818,154.407584307
 01/01  19:00:00,378.257394755,37.3087999576,95.8790793292,0.0,80.3315023541,83.7685254822,288.294840941,50.4270037109,49.9818,187.88603723
 01/01  20:00:00,391.914730521,37.3066796375,105.579243817,0.0,102.000620287,77.6748002752,332.839648303,53.3077162972,33.3212,246.210732006
 01/01  21:00:00,412.425341025,37.3066796375,105.486515775,0.0,108.704857014,91.4735406516,354.574380989,75.782072074,33.3212,245.471108915
 01/01  22:00:00,384.424796011,37.3066796375,105.602684155,0.0,95.2963835608,89.1510273009,360.186781742,88.9653413791,24.9909,246.230540363
 01/01  23:00:00,329.006720326,37.3066796375,103.086206475,0.0,80.3315023541,63.3799339444,522.230477648,142.436146977,16.6606,363.133730671
 01/01  24:00:00,233.817754456,37.3066796375,72.1485968411,0.0,42.6918050922,48.4199368926,365.299103069,148.460394203,8.3303,208.508408866
 01/02  01:00:00,170.645003126,32.7483518292,56.2463370829,0.0,25.5240853573,30.610668775,157.163589118,30.946159503,3.33212,122.885309615
 01/02  02:00:00,154.493727985,32.7483518292,47.4695181714,0.0,19.418418834,29.3649097162,124.003754672,26.7211531143,3.33212,93.9504815581
 01/02  03:00:00,141.208347144,32.7483518292,42.1404496595,0.0,12.7620426787,28.1191506574,115.034378169,24.0124767681,3.33212,87.6897814013
 01/02  04:00:00,137.232965412,32.7483518292,38.2004416852,0.0,12.7620426787,28.1191506574,119.552861558,22.2687728062,3.33212,93.9519687519
 01/02  05:00:00,144.134106033,32.7483518292,38.5240195538,0.0,12.7620426787,28.1191506574,147.379040543,21.1597862012,3.33212,122.887134342
 01/02  06:00:00,180.670216461,32.7483518292,47.4180854941,0.0,25.5240853573,30.610668775,236.731237621,20.0886331008,8.3303,208.31230452
 01/02  07:00:00,309.611814573,35.0275157334,76.2722528667,0.0,51.0481707146,78.1489452969,400.804206411,18.8729366964,16.6606,365.270669715
 01/02  08:00:00,383.263899773,37.3923794768,100.831352556,0.0,64.3609230253,109.708623606,596.873910507,86.5717206573,24.9909,485.31128985
 01/02  09:00:00,336.016535652,37.3066796375,102.162320976,0.0,51.0481707146,80.7689615957,459.238439414,54.2658098593,33.3212,371.651429555
 01/02  10:00:00,310.249031802,37.8940651265,104.09959885,0.0,51.0481707146,71.0224615957,378.999135329,29.1885084989,66.8089,283.00172683
 01/02  11:00:00,259.442147058,37.9828264866,101.632452082,0.0,32.1804615127,65.7244621605,319.262099996,12.510948117,83.4695,223.281651879
 01/02  12:00:00,260.228036276,38.0365499736,101.374046743,0.0,32.1804615127,65.7244621605,259.502574468,6.38337689156,83.4695,169.649697577
 01/02  13:00:00,258.846560849,38.0762433697,100.566236982,0.0,32.1804615127,65.7244621605,252.471225844,6.39979774605,83.4695,162.601928098
 01/02  14:00:00,249.783783326,38.1079414971,101.252833913,0.0,32.1804615127,55.9779621605,243.973303674,6.41869914769,75.1392,162.415404526
 01/02  15:00:00,250.753617053,38.1348157568,102.373197531,0.0,32.1804615127,55.9779621605,241.963968836,12.950224186,66.8089,162.20484465
 01/02  16:00:00,251.444520185,38.156902823,103.207438271,0.0,32.1804615127,55.9779621605,252.722579979,15.3759529117,75.1392,162.207427068
 01/02  17:00:00,266.688711804,37.8587596753,87.1890558706,0.0,32.1804615127,60.9114621605,245.11628028,23.6356364317,91.7998,129.680843848
 01/02  18:00:00,316.110527138,37.308440884,88.2110269077,0.0,32.1804615127,77.5397301883,264.492126376,34.0884316561,49.9818,180.42189472
 01/02  19:00:00,386.037318969,37.3489096748,104.056613115,0.0,77.122965704,86.2600435998,425.753437823,39.1484078706,49.9818,336.623229953
 01/02  20:00:00,396.178434894,37.3076179912,106.667000883,0.0,102.647051061,80.1663183927,322.983713444,36.1705813865,33.3212,253.491932057
 01/02  21:00:00,420.790704478,37.3066796375,105.925183811,0.0,115.40909374,92.7192997104,323.891295693,44.2723772784,33.3212,246.297718414
 01/02  22:00:00,396.172711181,37.3152072629,104.753735408,0.0,102.647051061,94.1340635361,465.978500372,73.9862970878,24.9909,367.001303284
 01/02  23:00:00,320.925921235,37.353302766,96.0663430732,0.0,77.122965704,65.871452062,370.974636018,83.6537867501,16.6606,270.660249268
