Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,70.6399080814,20.5697205044,14.7097846211,0.418158839389,4.12243109448,15.9888894789,93.7860849984,90.7943545805,2.97173041782,0.02
 01/02  02:00:00,66.1015056952,17.8677391155,11.7125654296,0.57277317697,4.12243109448,15.9888894789,82.2553297154,79.2635992976,2.97173041782,0.02
 01/02  03:00:00,78.1108993705,22.8801869333,13.5464532707,1.97677607385,4.12243109448,15.9888894789,103.956934318,100.9652039,2.97173041782,0.02
 01/02  04:00:00,72.9869191237,19.0896883226,10.0086604595,4.02805542569,4.12243109448,15.9888894789,84.6924230709,81.7006926531,2.97173041782,0.02
 01/02  05:00:00,105.52955466,28.0381048947,14.9530122677,4.16602916667,12.3672932834,24.9413748627,119.129489469,114.15660544,4.9528840297,0.02
 01/02  06:00:00,125.741479482,27.9480488471,19.4475041748,24.2470972509,12.3672932834,24.9413748627,184.802202504,179.829318474,4.9528840297,0.02
 01/02  07:00:00,185.245203184,28.8922704596,20.5836601258,23.5975080012,24.7345865669,70.7195625826,150.521510123,140.595742064,9.90576805939,0.02
 01/02  08:00:00,201.54319134,29.0256292028,20.5013807905,16.9346487486,37.1018798503,92.3937384068,131.046199253,121.120431194,9.90576805939,0.02
 01/02  09:00:00,204.863283964,29.0988275363,22.0484290343,11.5189634928,37.1018798503,104.434947198,122.161097923,112.235329863,9.90576805939,0.02
 01/02  10:00:00,213.880673275,29.2191288983,24.1284492867,6.29437160067,37.1018798503,116.476155989,122.443670607,103.910776515,9.90576805939,8.6271260326
 01/02  11:00:00,215.550670029,29.3886583662,27.3967917103,4.20687838703,37.1018798503,116.476155989,107.809518231,97.8837501711,9.90576805939,0.02
 01/02  12:00:00,217.17606683,29.8077237465,29.9749620484,2.87274111232,37.1018798503,116.476155989,110.729891851,92.1908528587,9.90576805939,8.63327093317
 01/02  13:00:00,204.638156978,30.2067096231,30.2233855743,1.9850381998,37.1018798503,104.434947198,98.4202256047,88.4944575453,9.90576805939,0.02
 01/02  14:00:00,216.176463894,30.2768217593,30.1718161949,1.48827765667,37.1018798503,116.476155989,97.5426428277,87.6168747683,9.90576805939,0.02
 01/02  15:00:00,213.620730875,30.3811479568,27.7066091091,1.29367463549,37.1018798503,116.476155989,105.129873011,86.5923633781,9.90576805939,8.63174157371
 01/02  16:00:00,212.572715087,30.2147689619,26.8400715464,1.27876034755,37.1018798503,116.476155989,97.2571234014,87.331355342,9.90576805939,0.02
 01/02  17:00:00,213.275872282,29.7544859522,25.358967201,1.57470357421,37.1018798503,116.476155989,110.52935918,91.9976527609,9.90576805939,8.62593835962
 01/02  18:00:00,224.405750243,29.603988814,24.3981125498,2.07128082647,37.1018798503,116.476155989,105.15577284,95.2300047803,9.90576805939,0.02
 01/02  19:00:00,136.009877795,27.4562243199,21.4870679989,0.0,24.7345865669,47.5788473902,81.5015912368,76.5287072071,4.9528840297,0.02
 01/02  20:00:00,137.518952931,27.9653698229,21.4928896056,0.0,24.7345865669,47.5788473902,87.7355276333,82.7626436036,4.9528840297,0.02
 01/02  21:00:00,113.166120707,26.5834034577,20.2958065307,0.0,12.3672932834,38.6892022431,100.73359449,97.7418640719,2.97173041782,0.02
 01/02  22:00:00,89.0380298789,20.3091286737,14.7060345265,0.0112854197617,12.3672932834,27.0668015668,82.2762445227,79.2845141049,2.97173041782,0.02
 01/02  23:00:00,65.0863573354,17.4313286844,13.0105109977,0.0,4.12243109448,15.9888894789,77.8629839996,74.8712535818,2.97173041782,0.02
 01/02  24:00:00,74.6851541574,22.8801869333,16.1711951886,0.467921037201,4.12243109448,15.9888894789,108.047412444,96.4738519872,2.97173041782,8.60183003855
 01/03  01:00:00,66.0999866555,17.8677391155,12.8437834101,0.370673443015,4.12243109448,15.9888894789,81.2859902258,78.294259808,2.97173041782,0.02
 01/03  02:00:00,75.5524364117,22.6619817177,16.5542524566,1.1010905781,4.12243109448,15.9888894789,102.134723641,99.1429932228,2.97173041782,0.02
 01/03  03:00:00,71.0865999004,18.5659958053,14.1607439918,1.63212842216,4.12243109448,15.9888894789,82.6637856897,79.6720552718,2.97173041782,0.02
 01/03  04:00:00,85.8442390736,22.3128533728,20.0318878669,0.691065762905,4.12243109448,15.9888894789,101.960119909,98.9683894911,2.97173041782,0.02
 01/03  05:00:00,113.251970655,27.7471646073,24.0101046994,1.96218014923,12.3672932834,24.9413748627,114.815503775,109.842619745,4.9528840297,0.02
 01/03  06:00:00,134.854947529,28.4159426033,25.5461012599,23.8168418027,12.3672932834,24.9413748627,180.48079124,175.507907211,4.9528840297,0.02
 01/03  07:00:00,184.572456727,28.9049215551,24.4855600124,18.5077833532,24.7345865669,70.7195625826,147.52956699,137.603798931,9.90576805939,0.02
 01/03  08:00:00,202.512748051,29.0837486277,23.9501517733,12.9678957261,37.1018798503,92.3937384068,128.490353488,118.564585428,9.90576805939,0.02
 01/03  09:00:00,206.786152121,29.1871201147,24.362064409,8.52360221161,37.1018798503,104.434947198,120.203074191,110.277306131,9.90576805939,0.02
 01/03  10:00:00,218.133112883,29.3348084739,26.4353994503,4.28899407785,37.1018798503,116.476155989,121.381672882,102.848734594,9.90576805939,8.6271702283
 01/03  11:00:00,213.48145286,29.5010854157,26.5079245098,2.70056196999,37.1018798503,116.476155989,107.325899608,97.4001315482,9.90576805939,0.02
 01/03  12:00:00,216.543859814,29.741047562,29.8500301914,1.80581445459,37.1018798503,116.476155989,112.588107744,94.0490272934,9.90576805939,8.63331239133
 01/03  13:00:00,213.808183753,30.1524731313,34.5125897523,1.38218765628,37.1018798503,104.434947198,99.5736771318,89.6479090724,9.90576805939,0.02
 01/03  14:00:00,229.434649586,30.4355340433,36.4808125135,0.981808234643,37.1018798503,116.476155989,96.3362872151,86.4105191557,9.90576805939,0.02
 01/03  15:00:00,232.245696002,30.443701955,37.1682358091,0.793787215281,37.1018798503,116.476155989,104.049029785,85.5114754843,9.90576805939,8.63178624133
 01/03  16:00:00,221.270676621,30.2157766889,32.9543601048,0.82419120772,37.1018798503,116.476155989,97.3130278442,87.3872597848,9.90576805939,0.02
 01/03  17:00:00,221.408317475,29.815043462,29.9801195694,1.13832214719,37.1018798503,116.476155989,109.986444508,91.4547731008,9.90576805939,8.62590334822
 01/03  18:00:00,234.464466148,29.7061767503,28.1631658033,1.59455530657,37.1018798503,116.476155989,103.405485814,93.4797177542,9.90576805939,0.02
 01/03  19:00:00,147.108738415,27.4562243199,22.7891644266,0.0,24.7345865669,47.5788473902,79.9017253564,74.9288413267,4.9528840297,0.02
 01/03  20:00:00,140.180682107,27.9653698229,20.9979210025,0.0,24.7345865669,47.5788473902,86.9360811017,81.963197072,4.9528840297,0.02
 01/03  21:00:00,117.628158081,26.5834034577,19.7934640391,0.0,12.3672932834,38.6892022431,100.269993278,97.2782628601,2.97173041782,0.02
 01/03  22:00:00,86.5645843749,18.6532778915,13.2460629859,0.00361149179844,12.3672932834,27.0668015668,73.6870035444,70.6952731265,2.97173041782,0.02
 01/03  23:00:00,72.9683417933,21.7891608555,16.4251271895,0.0,4.12243109448,15.9888894789,96.1641062969,93.1723758791,2.97173041782,0.02
 01/03  24:00:00,66.6129463385,18.3914316328,13.2382693463,0.338727671073,4.12243109448,15.9888894789,88.3294963772,76.755932234,2.97173041782,8.60183372536
 01/04  01:00:00,74.2499020675,22.8365458902,15.7579625233,0.901340013465,4.12243109448,15.9888894789,100.653294298,97.6615638805,2.97173041782,0.02
 01/04  02:00:00,64.4169713154,17.4313286844,12.3411251466,0.0,4.12243109448,15.9888894789,82.1965041756,79.2047737578,2.97173041782,0.02
 01/04  03:00:00,74.669011945,22.8801869333,15.454181774,1.58058979733,4.12243109448,15.9888894789,103.558761582,100.567031165,2.97173041782,0.02
 01/04  04:00:00,67.0519028784,18.5223547622,11.612415642,2.16303759393,4.12243109448,15.9888894789,84.3007219557,81.3089915379,2.97173041782,0.02
 01/04  05:00:00,98.6250856923,27.7762586361,15.0297980892,2.94333176367,12.3672932834,24.9413748627,118.911120162,113.938236133,4.9528840297,0.02
 01/04  06:00:00,121.802055681,27.9589243455,18.4322128401,22.8286220122,12.3672932834,24.9413748627,184.809045482,179.836161453,4.9528840297,0.02
 01/04  07:00:00,179.969427002,28.9254758033,18.7240499713,22.1134834301,24.7345865669,70.7195625826,150.904130787,140.978362728,9.90576805939,0.02
 01/04  08:00:00,201.662269007,29.0701820978,19.2149972574,16.1758695039,37.1018798503,92.3937384068,131.606528984,121.680760925,9.90576805939,0.02
 01/04  09:00:00,204.687716338,29.1247676661,20.7338140906,12.6320653702,37.1018798503,104.434947198,123.981972918,114.056204859,9.90576805939,0.02
 01/04  10:00:00,215.595738676,29.18158207,21.7595125911,10.4159222056,37.1018798503,116.476155989,128.26094442,109.72796628,9.90576805939,8.6272100814
 01/04  11:00:00,213.244830989,29.263425987,21.8738544775,7.86826369718,37.1018798503,116.476155989,115.62519435,105.69942629,9.90576805939,0.02
 01/04  12:00:00,210.941114137,29.3898239614,22.3425777017,4.96914708796,37.1018798503,116.476155989,118.418912983,99.8797857074,9.90576805939,8.63335921642
 01/04  13:00:00,198.328080136,29.5094781693,23.0876249787,3.53326606189,37.1018798503,104.434947198,106.213425479,96.2876574197,9.90576805939,0.02
 01/04  14:00:00,209.987223,29.7611879467,23.5131428835,2.47333654194,37.1018798503,116.476155989,102.335564174,92.4097961142,9.90576805939,0.02
 01/04  15:00:00,209.603210692,29.6757470102,23.5293516525,2.15881672232,37.1018798503,116.476155989,111.483515228,92.945982929,9.90576805939,8.63176423971
 01/04  16:00:00,210.24255357,29.6269679973,24.2608563233,2.11560827818,37.1018798503,116.476155989,103.97721143,94.051443371,9.90576805939,0.02
 01/04  17:00:00,213.309272685,29.5681391935,24.4514057587,2.70201667278,37.1018798503,116.476155989,115.120206977,96.5885901316,9.90576805939,8.62584878572
 01/04  18:00:00,225.550101034,29.5350155495,23.8139384894,3.86877601866,37.1018798503,116.476155989,107.973284384,98.0475163246,9.90576805939,0.02
 01/04  19:00:00,134.947110838,27.4562243199,20.4242993841,0.0,24.7345865669,47.5788473902,83.959261326,78.9863772963,4.9528840297,0.02
 01/04  20:00:00,134.56698097,27.892634751,19.6077539569,0.0,24.7345865669,47.5788473902,90.292273298,85.3193892684,4.9528840297,0.02
 01/04  21:00:00,111.605617182,26.5834034577,19.2014286184,0.0111258516995,12.3672932834,38.6892022431,103.032120306,100.040389888,2.97173041782,0.02
