Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.4604997475,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.4593218766,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.4530727343,0.0,0.0,0.0,15.863942322,29.242365,6.08829739731,0.0,3.20568,2.88261739731
 01/01  04:00:00,55.4438178403,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.6418141516,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  06:00:00,55.6170510627,0.0,0.0,0.0,15.863942322,29.242365,6.0883279206,0.0,3.20568,2.8826479206
 01/01  07:00:00,55.6392121906,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,49.860550724,0.0,0.0,0.0,15.863942322,29.242365,6.08835864325,0.0,3.20568,2.88267864325
 01/01  09:00:00,47.0308643484,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  10:00:00,47.0795426844,0.0,0.0,0.0,15.863942322,29.242365,6.08990734126,0.0,3.20568,2.88422734126
 01/01  11:00:00,47.0824222748,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  12:00:00,47.7591449973,0.0,0.0,0.0,15.863942322,29.242365,6.0898026241,0.0,3.20568,2.8841226241
 01/01  13:00:00,47.069101689,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  14:00:00,47.1172837777,0.0,0.0,0.0,15.863942322,29.242365,6.08991997162,0.0,3.20568,2.88423997162
 01/01  15:00:00,47.1627896592,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,48.4408985234,0.626464829385,0.640942420642,0.0,15.863942322,29.242365,6.08837830354,0.0,3.20568,2.88269830354
 01/01  17:00:00,48.4800525216,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,55.6058609504,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  19:00:00,55.5989229376,0.0,0.0,0.0,15.863942322,29.242365,6.08840881854,0.0,3.20568,2.88272881854
