Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.635726844,2.18917003894,0.0,0.0,1.85583932782,5.577,26.9454346304,22.2051600738,3.0011,1.73917455659
 01/01  02:00:00,9.5938889777,0.0,0.0,0.0,0.618613109274,5.0,3.59317853559,0.0,3.0011,0.592078535593
 01/01  03:00:00,9.62012040056,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  04:00:00,9.62818637804,0.0,0.0,0.0,0.618613109274,5.0,3.59318442872,0.0,3.0011,0.592084428716
 01/01  05:00:00,9.76629065017,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,13.7660642219,2.18917003894,0.0,0.0,1.85583932782,5.577,35.716432444,31.194782444,4.50165,0.02
 01/01  07:00:00,28.2472875419,2.18917003894,0.0,0.0,3.71167865564,18.077,37.6861816296,22.44339289,13.50495,1.73783873958
 01/01  08:00:00,26.3070084097,2.18917003894,0.0,0.0,3.71167865564,18.077,41.0800638555,18.9073988643,21.0077,1.16496499121
 01/01  09:00:00,20.6847303835,2.18917003894,0.0,0.0,3.71167865564,13.077,32.5868665648,15.8433847779,15.0055,1.73798178686
 01/01  10:00:00,20.7187704026,2.18917003894,0.0,0.0,3.71167865564,13.077,26.6019628064,10.4310706279,15.0055,1.16539217855
 01/01  11:00:00,25.7304058777,2.18917003894,0.0,0.0,3.71167865564,18.077,42.8245871782,5.77387390586,33.0121,4.03861327233
 01/01  12:00:00,26.8481957304,2.18917003894,0.0,0.0,3.71167865564,18.077,47.4733607985,2.92058748263,40.51485,4.03792331589
 01/01  13:00:00,25.9761768393,2.18917003894,0.0,0.0,3.71167865564,18.077,40.2417680895,0.766966332011,36.0132,3.46160175746
 01/01  14:00:00,25.7876557607,2.18917003894,0.0,0.0,3.71167865564,18.077,35.2422490209,0.269319010236,31.51155,3.46138001071
 01/01  15:00:00,20.8182512984,2.18917003894,0.0,0.0,3.71167865564,13.077,23.488311602,0.168675612358,21.0077,2.31193598962
 01/01  16:00:00,20.8140362574,2.18917003894,0.0,0.0,3.71167865564,13.077,21.8201400067,0.0,19.50715,2.31299000668
 01/01  17:00:00,21.3360395118,2.18917003894,0.0,0.0,3.71167865564,13.077,28.1770041563,2.78239549375,22.50825,2.88635866259
 01/01  18:00:00,28.2241943126,2.18917003894,0.0,0.0,3.71167865564,18.077,32.9341134702,3.96317288564,25.50935,3.46159058458
 01/01  19:00:00,28.2161557714,2.18917003894,0.0,0.0,3.71167865564,18.077,32.5664132715,3.01957623911,25.50935,4.03748703238
 01/01  20:00:00,28.3501252373,2.18917003894,0.0,0.0,3.71167865564,18.077,32.965930265,3.41891955519,25.50935,4.03766070983
 01/01  21:00:00,23.3166922141,2.18917003894,0.0,0.0,3.71167865564,13.077,31.4110259446,6.01497546468,22.50825,2.88780047992
 01/01  22:00:00,23.2374529082,2.18917003894,0.0,0.0,3.71167865564,13.077,31.9728046454,6.92789670503,21.0077,4.03720794042
 01/01  23:00:00,23.1224799643,2.18917003894,0.0,0.0,3.71167865564,13.077,31.3896080395,9.9219550213,18.0066,3.46105301816
 01/01  24:00:00,24.2749228614,2.18917003894,0.0,0.0,3.71167865564,13.077,20.5842282525,15.8450623365,3.0011,1.73806591594
 01/02  01:00:00,13.8383703664,2.18917003894,0.0,0.0,1.85583932782,5.577,24.3354932101,19.5962094638,3.0011,1.73818374628
 01/02  02:00:00,9.59444161996,0.0,0.0,0.0,0.618613109274,5.0,3.59319290266,0.0,3.0011,0.592092902655
 01/02  03:00:00,9.60756736815,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  04:00:00,9.60699746477,0.0,0.0,0.0,0.618613109274,5.0,3.59314706646,0.0,3.0011,0.592047066465
 01/02  05:00:00,9.75977129209,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  06:00:00,13.7842795701,2.18917003894,0.0,0.0,1.85583932782,5.577,30.3645663041,25.8429163041,4.50165,0.02
 01/02  07:00:00,28.2659224014,2.18917003894,0.0,0.0,3.71167865564,18.077,32.1891967602,16.9463753565,13.50495,1.73787140371
 01/02  08:00:00,26.3235490961,2.18917003894,0.0,0.0,3.71167865564,18.077,38.5032871136,12.8811340069,21.0077,4.61445310672
 01/02  09:00:00,20.7117429608,2.18917003894,0.0,0.0,3.71167865564,13.077,28.1104449187,8.49105029706,15.0055,4.61389462163
 01/02  10:00:00,20.745369412,2.18917003894,0.0,0.0,3.71167865564,13.077,22.6302675445,4.16150878573,15.0055,3.46325875878
 01/02  11:00:00,25.7790673106,2.18917003894,0.0,0.0,3.71167865564,18.077,37.4139931833,0.939715716023,33.0121,3.46217746723
 01/02  12:00:00,26.9116776853,2.18917003894,0.0,0.0,3.71167865564,18.077,43.9780571333,0.0,40.51485,3.46320713327
 01/02  13:00:00,26.0626382796,2.18917003894,0.0,0.0,3.71167865564,18.077,39.4747627671,0.0,36.0132,3.46156276711
 01/02  14:00:00,25.8481570345,2.18917003894,0.0,0.0,3.71167865564,18.077,34.3982220869,0.0,31.51155,2.88667208689
 01/02  15:00:00,20.8292557285,2.18917003894,0.0,0.0,3.71167865564,13.077,23.3464158155,0.0258625984432,21.0077,2.31285321708
 01/02  16:00:00,20.8019223247,2.18917003894,0.0,0.0,3.71167865564,13.077,23.3753243569,0.981897076403,19.50715,2.8862772805
 01/02  17:00:00,21.3356635978,2.18917003894,0.0,0.0,3.71167865564,13.077,28.4313049169,3.60987000848,22.50825,2.31318490846
 01/02  18:00:00,28.2245372181,2.18917003894,0.0,0.0,3.71167865564,18.077,31.9271660546,2.95608690728,25.50935,3.46172914731
 01/02  19:00:00,28.2304571238,2.18917003894,0.0,0.0,3.71167865564,18.077,32.2951862085,2.17348290411,25.50935,4.61235330441
