Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,117.584296183,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  02:00:00,117.586641147,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  03:00:00,117.57776988,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  04:00:00,121.576245886,4.00946851699,0.0,0.0,43.513341876,52.539744,7.26441010111,2.41015010111,4.83426,0.02
 01/01  05:00:00,123.348147936,5.37959721617,0.0,0.0,43.513341876,52.539744,9.58282169985,4.72856169985,4.83426,0.02
 01/01  06:00:00,124.0779991,6.15035435951,0.0,0.0,43.513341876,52.539744,22.0034277479,8.55761112784,4.83426,8.61155662005
 01/01  07:00:00,123.716580268,5.74184565269,0.0,0.0,43.513341876,52.539744,13.1440289207,8.28976892068,4.83426,0.02
 01/01  08:00:00,112.190329164,6.29200300866,0.0,0.0,43.513341876,52.539744,13.1605777624,8.3063177624,4.83426,0.02
 01/01  09:00:00,104.252997738,4.28230909933,0.0,0.0,43.513341876,52.539744,9.37497089647,4.52071089647,4.83426,0.02
 01/01  10:00:00,100.057347964,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  11:00:00,100.058383994,0.0,0.0,0.0,43.513341876,52.539744,13.4524695391,0.0,4.83426,8.61820953913
 01/01  12:00:00,100.910304857,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  13:00:00,100.023730419,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  14:00:00,100.113010932,0.0,0.0,0.0,43.513341876,52.539744,13.4524184596,0.0,4.83426,8.6181584596
 01/01  15:00:00,100.196451195,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  16:00:00,100.209895858,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  17:00:00,102.943494013,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  18:00:00,117.838193349,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  19:00:00,117.825224049,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  20:00:00,118.249590356,0.0,0.0,0.0,43.513341876,52.539744,13.4456875874,0.0,4.83426,8.61142758737
 01/01  21:00:00,118.187237036,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  22:00:00,117.948584857,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  23:00:00,117.623192634,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  24:00:00,118.503159886,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  01:00:00,117.608312191,0.0,0.0,0.0,43.513341876,52.539744,13.4525321658,0.0,4.83426,8.61827216581
 01/02  02:00:00,117.592163562,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  03:00:00,118.781828749,1.22416408682,0.0,0.0,43.513341876,52.539744,5.54998482002,0.695724820021,4.83426,0.02
 01/02  04:00:00,122.17293217,4.64067627116,0.0,0.0,43.513341876,52.539744,8.25465133093,3.40039133093,4.83426,0.02
 01/02  05:00:00,124.403193537,6.43365165781,0.0,0.0,43.513341876,52.539744,20.9841672959,7.53157336897,4.83426,8.61833392696
 01/02  06:00:00,123.290938602,5.31689970523,0.0,0.0,43.513341876,52.539744,11.7887387149,6.93447871493,4.83426,0.02
 01/02  07:00:00,196.337683372,75.832332467,0.0,0.0,43.513341876,53.238744,1617.03112759,1612.17686759,4.83426,0.02
