Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,38.3454428355,5.37081986541,2.40839544692,0.0,12.925468867,10.100111941,18.0605202308,18.0405202308,0.0,0.02
 01/01  02:00:00,38.0176552225,5.32883784921,2.12374769123,0.0,12.925468867,10.100111941,23.8352030909,18.0774760984,0.0,5.75772699252
 01/01  03:00:00,32.8413814884,5.25865299119,1.63670034757,0.0,8.34152022915,10.0650221343,19.0283109658,19.0083109658,0.0,0.02
 01/01  04:00:00,32.5029708556,5.21650858007,1.34043332239,0.0,8.34152022915,10.0650221343,26.1397964463,20.3818215298,0.0,5.75797491651
 01/01  05:00:00,33.7781411544,5.17267530892,1.05277785052,0.0,8.34152022915,11.6705166398,28.8307162701,23.067080817,0.0,5.76363545313
 01/01  06:00:00,37.7033755101,5.14105160689,0.851288057006,0.0,8.80141237637,15.3678112995,29.5296131652,23.7601564919,0.0,5.7694566733
 01/01  07:00:00,58.4244633132,5.23565263393,1.50109294047,0.0,18.5082010057,25.6353820695,26.8892542083,21.1082628741,0.0,5.78099133419
 01/01  08:00:00,71.0281921351,5.46344218235,3.07403983325,0.0,19.4926561212,41.1001056674,30.9970718678,19.3972694031,0.0,11.5998024648
 01/01  09:00:00,97.0644181425,5.97489647459,6.7252718068,0.0,26.3286599382,57.9988325916,46.0805354809,10.6348097341,0.0,35.4457257467
 01/01  10:00:00,82.4503764578,6.0416821079,7.31806946006,0.0,26.2443270014,42.8153538416,53.6392364402,6.22643864703,18.025,29.3877977932
 01/01  11:00:00,57.4047799033,5.89960643678,6.28929134061,0.0,21.7447113004,23.4437158914,46.7507262001,5.27746185625,18.025,23.4482643439
 01/01  12:00:00,55.2728611411,5.94915347882,6.50994390624,0.0,19.3449162599,23.4437158914,45.8042783128,4.3803964595,18.025,23.3988818533
 01/01  13:00:00,56.1695323421,6.03898582491,7.17469944499,0.0,19.190480192,23.7425572507,40.4400289342,4.90350374191,18.025,17.5115251923
 01/01  14:00:00,56.7876880091,6.1271444521,7.67858128486,0.0,19.260583323,23.698576057,42.790653293,1.4174975134,18.025,23.3481557796
 01/01  15:00:00,57.6213685854,6.21709327355,8.42230536538,0.0,19.260583323,23.698576057,35.7238346422,0.188607040093,18.025,17.5102276021
 01/01  16:00:00,56.4450708062,6.09872263536,7.65433483371,0.0,19.260583323,23.4086260847,42.0905216736,0.716053295415,18.025,23.3494683782
 01/01  17:00:00,60.3395841153,5.78933219638,5.52290928757,0.0,19.260583323,27.8781056672,26.0757961331,2.28717012229,18.025,5.76362601082
