Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,86.2468097153,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,85.9863711593,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,85.7146242802,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91552562531,0.0,1.75125,1.16427562531
 01/01  04:00:00,85.2308502545,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  05:00:00,91.1293744385,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,90.0234509564,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  07:00:00,124.136877745,21.2181942149,0.0,0.0,6.98738001645,14.1499734587,335.643843586,330.977016339,3.5025,1.16432724682
 01/01  08:00:00,125.870938189,21.2181942149,0.0,0.0,6.98738001645,14.1499734587,315.005788155,311.483288155,3.5025,0.02
 01/01  09:00:00,156.820614369,21.2181942149,0.0,0.0,6.98738001645,14.1499734587,260.515545999,255.848670958,3.5025,1.16437504134
 01/01  10:00:00,133.279570164,21.2181942149,0.0,0.0,6.98738001645,14.1499734587,225.936900202,222.414400202,3.5025,0.02
 01/01  11:00:00,169.517142141,21.2181942149,0.0,0.0,27.9495200658,27.7759469175,190.918697145,182.748958012,7.005,1.16473913212
 01/01  12:00:00,200.536770908,21.2181942149,0.0,0.0,27.9495200658,27.7759469175,174.817968431,166.648279317,7.005,1.16468911431
 01/01  13:00:00,211.250536587,21.2181942149,0.0,0.0,41.9242800987,36.8599292233,151.259298508,141.899298508,9.34,0.02
 01/01  14:00:00,211.158938442,21.2181942149,0.0,0.0,41.9242800987,36.8599292233,137.368946169,126.864154911,9.34,1.16479125742
