Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.2897482932,3.816892505,0.000792999442122,0.0,4.58992532963,8.1892,109.077830496,97.6518323582,3.33988,8.08611813791
 01/01  02:00:00,14.6592621202,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.6790826772,0.0,0.0,0.0,1.52997510988,7.4902,3.93195115913,0.0,3.33988,0.592071159126
 01/01  04:00:00,14.6867289473,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.8336451792,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  06:00:00,22.4175103179,3.816892505,0.010675022376,0.0,4.58992532963,8.1892,124.636990582,115.695196305,8.3497,0.592094276836
 01/01  07:00:00,38.3720803137,3.816892505,0.0109569346023,0.0,9.17985065927,19.4245,134.042245547,112.151797867,16.6994,5.19104767922
 01/01  08:00:00,42.6577666469,3.816892505,0.00943580762082,0.0,9.17985065927,26.9147,130.528082971,100.863900282,25.0491,4.61508268871
 01/01  09:00:00,41.6046372458,3.816892505,0.0,0.0,9.17985065927,26.9147,134.955884792,96.3669692805,33.3988,5.19011551192
 01/01  10:00:00,34.119150192,3.816892505,0.0,0.0,9.17985065927,19.4245,127.620565386,97.3810440381,25.0491,5.19042134774
 01/01  11:00:00,41.6239195901,3.816892505,0.012817631381,0.0,9.17985065927,26.9147,147.566714528,90.123775784,41.7485,15.6944387438
 01/01  12:00:00,42.3893194032,3.816892505,0.0,0.0,9.17985065927,26.9147,141.007282593,82.9833055137,41.7485,16.2754770791
 01/01  13:00:00,41.6679638091,3.816892505,0.0,0.0,9.17985065927,26.9147,129.546204831,75.0453253649,41.7485,12.7523794658
 01/01  14:00:00,34.1446993555,3.816892505,0.0,0.0,9.17985065927,19.4245,119.104239679,72.3715721917,33.3988,13.3338674871
 01/01  15:00:00,34.1462830531,3.816892505,0.0,0.0,9.17985065927,19.4245,107.627541152,73.3263718625,25.0491,9.25206928923
 01/01  16:00:00,34.1325825062,3.816892505,0.0,0.0,9.17985065927,19.4245,121.038402373,77.8091211054,33.3988,9.8304812673
 01/01  17:00:00,45.8028777622,3.816892505,0.0110564173945,0.0,9.17985065927,26.9147,137.222976151,77.29538088,50.0982,9.82939527059
 01/01  18:00:00,45.8058910433,3.816892505,0.00313242121008,0.0,9.17985065927,26.9147,137.873711433,75.0211920479,50.0982,12.7543193853
 01/01  19:00:00,45.8095974622,3.816892505,0.0,0.0,9.17985065927,26.9147,138.316321259,71.9378943565,50.0982,16.2802269028
 01/01  20:00:00,38.4577129349,3.816892505,0.0,0.0,9.17985065927,19.4245,115.853936268,66.1804090615,33.3988,16.2747272061
 01/01  21:00:00,38.4598998451,3.816892505,0.0,0.0,9.17985065927,19.4245,103.248468546,57.0967480622,33.3988,12.7529204836
 01/01  22:00:00,38.4060094375,3.816892505,0.0,0.0,9.17985065927,19.4245,100.242776083,58.9170831854,25.0491,16.2765928977
 01/01  23:00:00,38.302274624,3.816892505,0.0,0.0,9.17985065927,19.4245,90.0621977084,60.608159478,16.6994,12.7546382304
 01/01  24:00:00,39.0933023902,3.816892505,0.0,0.0,9.17985065927,19.4245,75.4859940713,60.7888642784,8.3497,6.34742979287
 01/02  01:00:00,22.3444419031,3.816892505,0.0,0.0,4.58992532963,8.1892,80.0895984149,69.8247106712,3.33988,6.92500774368
 01/02  02:00:00,14.684621684,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  03:00:00,14.7038441288,0.0,0.0,0.0,1.52997510988,7.4902,3.9319535837,0.0,3.33988,0.592073583705
 01/02  04:00:00,14.71517213,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  05:00:00,14.8639871702,0.0,0.0,0.0,1.52997510988,7.4902,3.93195948469,0.0,3.33988,0.592079484692
 01/02  06:00:00,22.4388564704,3.816892505,0.0,0.0,4.58992532963,8.1892,88.2905789706,79.9208789706,8.3497,0.02
 01/02  07:00:00,38.3984856089,3.816892505,0.0138780699239,0.0,9.17985065927,19.4245,99.5272420705,77.6371396153,16.6994,5.19070245519
 01/02  08:00:00,42.6936444956,3.816892505,0.0182482025427,0.0,9.17985065927,26.9147,116.575973632,72.2889958356,25.0491,19.2378777962
 01/02  09:00:00,41.6356132217,3.816892505,0.00196141593767,0.0,9.17985065927,26.9147,121.324789173,70.4633637659,33.3988,17.4626254074
 01/02  10:00:00,34.1527109208,3.816892505,0.0,0.0,9.17985065927,19.4245,108.396386741,68.8351112829,25.0491,14.5121754583
 01/02  11:00:00,41.6575033905,3.816892505,0.00306982736039,0.0,9.17985065927,26.9147,120.433897349,65.3518543657,41.7485,13.3335429829
 01/02  12:00:00,42.4300429907,3.816892505,0.0,0.0,9.17985065927,26.9147,105.978712845,49.7169133008,41.7485,14.5132995442
 01/02  13:00:00,41.7363951577,3.816892505,0.0,0.0,9.17985065927,26.9147,92.0604132882,37.5562566917,41.7485,12.7556565964
 01/02  14:00:00,34.2051388995,3.816892505,0.0,0.0,9.17985065927,19.4245,87.578071243,42.6007730886,33.3988,11.5784981544
 01/02  15:00:00,34.1941560638,3.816892505,0.0,0.0,9.17985065927,19.4245,86.7270444287,51.847924443,25.0491,9.83001998575
 01/02  16:00:00,34.1692581841,3.816892505,0.0,0.0,9.17985065927,19.4245,103.025322195,60.3734546123,33.3988,9.2530675827
 01/02  17:00:00,45.813830291,3.816892505,0.00366351284475,0.0,9.17985065927,26.9147,125.215082051,65.2872362719,50.0982,9.82964577927
 01/02  18:00:00,45.8061420699,3.816892505,0.0,0.0,9.17985065927,26.9147,133.752763428,70.3219088075,50.0982,13.3326546206
 01/02  19:00:00,45.8076661268,3.816892505,0.0,0.0,9.17985065927,26.9147,140.172997323,72.6095036665,50.0982,17.4652936568
 01/02  20:00:00,38.4483230141,3.816892505,0.0,0.0,9.17985065927,19.4245,135.350583841,82.7139952277,33.3988,19.2377886131
 01/02  21:00:00,38.4280148686,3.816892505,0.0,0.0,9.17985065927,19.4245,139.057441413,89.3823149228,33.3988,16.27632649
 01/02  22:00:00,38.3575798077,3.816892505,0.0,0.0,9.17985065927,19.4245,141.483127926,98.9711816578,25.0491,17.4628462678
 01/02  23:00:00,38.2484362536,3.816892505,0.0,0.0,9.17985065927,19.4245,136.148976086,104.935951891,16.6994,14.5136241949
 01/02  24:00:00,39.0579162123,3.816892505,0.0,0.0,9.17985065927,19.4245,128.87663631,112.439713679,8.3497,8.08722263088
 01/03  01:00:00,22.2956436302,3.816892505,0.0,0.0,4.58992532963,8.1892,134.128821917,123.863890189,3.33988,6.92505172785
 01/03  02:00:00,14.6297561444,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  03:00:00,14.647537136,0.0,0.0,0.0,1.52997510988,7.4902,3.93195646247,0.0,3.33988,0.59207646247
 01/03  04:00:00,14.6593513067,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  05:00:00,15.324506559,0.0,0.0,0.0,1.52997510988,7.4902,3.93196235889,0.0,3.33988,0.592082358885
 01/03  06:00:00,22.9166181162,3.816892505,0.00643274222025,0.0,4.58992532963,8.1892,151.325090927,142.955390927,8.3497,0.02
 01/03  07:00:00,38.5931037774,3.816892505,0.0100273799185,0.0,9.17985065927,19.4245,162.076543525,140.187375136,16.6994,5.18976838951
 01/03  08:00:00,42.6561577362,3.816892505,0.0129442187462,0.0,9.17985065927,26.9147,178.125325051,133.836849944,25.0491,19.239375107
 01/03  09:00:00,41.6000716624,3.816892505,0.0,0.0,9.17985065927,26.9147,184.410301863,133.54745233,33.3988,17.4640495331
 01/03  10:00:00,34.1149894597,3.816892505,0.0,0.0,9.17985065927,19.4245,173.147332026,133.005024645,25.0491,15.0932073812
 01/03  11:00:00,41.6075889072,3.816892505,0.00734482732847,0.0,9.17985065927,26.9147,187.924314953,133.421331627,41.7485,12.7544833261
 01/03  12:00:00,42.3742965476,3.816892505,0.0,0.0,9.17985065927,26.9147,180.904839591,124.64317132,41.7485,14.5131682713
