Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,674.90785623,96.0770455199,222.43108089,0.0,34.9616554283,113.312780494,851.601157439,828.461037539,5.66466996096,17.4754499394
 01/01  02:00:00,598.960602904,96.0770455199,136.163982498,0.0,34.9616554283,113.312780494,1030.33024948,1007.18871197,5.66466996096,17.4768675532
 01/01  03:00:00,599.926956192,96.0770455199,139.638779664,0.0,34.9616554283,113.312780494,974.78333212,951.640322653,5.66466996096,17.4783395053
 01/01  04:00:00,608.065197234,96.0770455199,150.054738852,0.0,34.9616554283,113.312780494,920.467826115,897.323334605,5.66466996096,17.4798215493
 01/01  05:00:00,609.724208104,96.0770455199,144.83509154,0.0,44.4937663224,113.312780494,913.979437657,890.83346429,5.66466996096,17.4813034052
 01/01  06:00:00,609.294702789,96.0770455199,145.754074694,0.0,44.4937663224,113.312780494,910.062181746,878.425378876,14.1616749024,17.4751279682
 01/01  07:00:00,672.881292097,96.0770455199,136.778818184,0.0,54.0258772165,176.889270242,880.931363093,835.131499294,28.3233498048,17.4765139937
 01/01  08:00:00,665.557983317,96.0770455199,133.691395043,0.0,54.0258772165,184.38654557,885.271589031,825.308585084,42.4850247072,17.4779792403
 01/01  09:00:00,751.723902769,96.0770455199,147.410537248,0.0,65.1572554096,220.04316451,838.821100023,755.815021894,56.6466996096,26.35937852
 01/01  10:00:00,766.869899099,96.0770455199,171.670262764,0.0,65.1572554096,212.545889182,766.947800632,689.128413818,42.4850247072,35.3343621062
 01/01  11:00:00,796.988211129,96.0770455199,194.927229534,0.0,65.1572554096,220.04316451,740.918853152,634.577462519,70.808374512,35.5330161212
 01/01  12:00:00,818.409204035,96.0770455199,215.655489373,0.0,65.1572554096,220.04316451,705.624145334,599.280566145,70.808374512,35.5352046772
 01/01  13:00:00,834.209160442,96.0770455199,232.226952879,0.0,65.1572554096,220.04316451,683.978522526,577.632046805,70.808374512,35.5381012094
