Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,152.680455786,30.865802336,28.5994782082,0.0,34.4311606118,33.1021868926,270.881968664,106.970182423,3.33212,160.579666241
 01/01  02:00:00,141.547797736,30.865802336,17.3921078205,0.0,34.4311606118,33.1021868926,207.865098383,86.8313689733,3.33212,117.70160941
 01/01  03:00:00,120.696343637,30.865802336,14.0219757,0.0,19.466279405,30.610668775,197.836525633,71.7037724758,3.33212,122.800633157
 01/01  04:00:00,119.707996942,30.865802336,13.0436194077,0.0,19.466279405,30.610668775,189.760352217,63.6237546076,3.33212,122.804477609
 01/01  05:00:00,126.952007258,30.8733843835,13.7086085977,0.0,19.466279405,30.610668775,224.937215051,59.8472214909,3.33212,161.75787356
 01/01  06:00:00,141.198676525,30.9112946214,15.6358439945,0.0382027361495,19.466279405,30.610668775,264.608180137,58.3863311039,8.3303,197.891549033
 01/01  07:00:00,222.255877048,30.8961305263,25.1970409859,0.0157550395377,42.6918050922,54.3732441037,363.271928186,56.9536227911,16.6606,289.657705395
 01/01  08:00:00,295.523230598,35.7012195812,49.2673079289,0.0192468833926,49.3960418185,88.5934452969,819.706690503,319.227041129,24.9909,475.488749374
 01/01  09:00:00,348.894597678,35.6816598623,76.5120967195,0.0,57.6566862989,112.030105488,1065.73347019,359.801240002,33.3212,672.611030192
 01/01  10:00:00,275.207353472,35.7755277122,58.9353799091,0.0,50.9524495726,81.1684271793,890.996501099,337.753124995,66.8089,486.434476105
 01/01  11:00:00,210.189473766,35.9209236835,38.8516601891,0.0,42.6918050922,68.9656133826,783.280659849,331.059116738,83.4695,368.752043111
 01/01  12:00:00,199.075826041,36.0326401037,31.3712009004,0.0,38.286128036,68.9656133826,706.701113661,331.014881547,83.4695,292.216732114
 01/01  13:00:00,192.160446232,36.1257567005,25.2419228595,0.0,38.286128036,68.9656133826,622.574370016,324.756274732,83.4695,214.348595284
 01/01  14:00:00,172.656620328,36.2118954063,24.6093595967,0.0,31.5818913096,56.727595265,607.445169107,324.806800933,75.1392,207.499168174
 01/01  15:00:00,172.180930009,36.3147299741,24.0475105192,0.0,31.5818913096,56.727595265,595.50863082,320.898259652,66.8089,207.801471168
 01/01  16:00:00,170.402658521,36.2821709285,22.3062340783,0.0,31.5818913096,56.727595265,612.371748743,324.779175296,75.1392,212.453373448
 01/01  17:00:00,214.391557531,36.005383426,20.5652675076,0.0,31.5818913096,61.661095265,578.089529402,324.053731977,91.7998,162.235997425
 01/01  18:00:00,249.980860697,35.6907583194,28.7431518259,0.0,31.5818913096,70.9729253606,572.697096757,317.015572556,49.9818,205.6997242
 01/01  19:00:00,323.536908762,35.6892419099,40.5811932317,0.0,80.3315023541,83.7685254822,609.274528972,313.18779981,49.9818,246.104929162
 01/01  20:00:00,341.368795212,35.6854508861,54.479254208,0.0338994397707,102.000620287,77.6748002752,645.342994887,290.6592253,33.3212,321.362569587
 01/01  21:00:00,370.166919063,35.6892419099,63.5002894064,0.114484559087,108.704857014,91.4735406516,567.414234321,214.132341585,33.3212,319.960692737
 01/01  22:00:00,343.360761555,35.6841872115,65.5909235215,0.103747249747,95.2963835608,89.1510273009,530.743765763,184.426636602,24.9909,321.326229161
 01/01  23:00:00,289.936466749,35.6740778147,65.5960693859,0.0,80.3315023541,63.3799339444,692.625777769,199.01792628,16.6606,476.947251489
 01/01  24:00:00,205.626415354,35.6816598623,45.5685581991,0.07599066616,42.6918050922,48.4199368926,502.192928063,220.409724289,8.3303,273.452903775
 01/02  01:00:00,145.223196636,30.865802336,32.7858098427,0.0,25.5240853573,30.610668775,237.774469594,75.0497278456,3.33212,159.392621748
 01/02  02:00:00,130.579158588,30.865802336,25.4603930922,0.0,19.418418834,29.3649097162,191.165321857,65.2056284653,3.33212,122.627573392
 01/02  03:00:00,119.710441977,30.865802336,22.4769513071,0.0,12.7620426787,28.1191506574,184.428902529,58.447996291,3.33212,122.648786238
 01/02  04:00:00,118.543818987,30.865802336,21.3085809734,0.0,12.7620426787,28.1191506574,171.928647849,52.4294586204,3.33212,116.167069229
 01/02  05:00:00,127.340995637,30.865802336,23.511411997,0.0,12.7620426787,28.1191506574,213.914262184,48.724948703,3.33212,161.857193481
 01/02  06:00:00,163.726534078,30.865802336,32.2634705285,0.0,25.5240853573,30.610668775,333.361289543,45.809192944,8.3303,279.221796599
 01/02  07:00:00,291.42004714,32.0678712057,60.9508200076,0.0,51.0481707146,78.1489452969,539.561161451,44.085159641,16.6606,478.81540181
 01/02  08:00:00,367.425296392,35.6740778147,85.0217508553,0.0,64.3609230253,109.708623606,903.7129519,245.384443883,24.9909,633.337608017
 01/02  09:00:00,297.663158121,35.6740778147,63.4791262387,0.0,51.0481707146,80.7689615957,776.333524477,255.537730754,33.3212,487.474593723
 01/02  10:00:00,263.738522268,36.1207036753,57.3454955716,0.0,51.0481707146,71.0224615957,686.155101494,251.089257424,66.8089,368.25694407
 01/02  11:00:00,214.725389946,36.3052381877,57.3115367748,0.0,32.1804615127,65.7244621605,598.014929875,228.373597781,83.4695,286.171832094
 01/02  12:00:00,213.611803206,36.3676610617,56.5822776971,0.0,32.1804615127,65.7244621605,463.795987899,167.767458356,83.4695,212.559029543
 01/02  13:00:00,211.082414679,36.4082164993,55.178686488,0.0,32.1804615127,65.7244621605,453.755532859,155.65826115,83.4695,214.627771709
 01/02  14:00:00,206.168397648,36.4428105089,59.8119157769,0.0,32.1804615127,55.9779621605,481.168210188,198.9862787,75.1392,207.042731489
 01/02  15:00:00,207.303549339,36.4747733607,60.6577309482,0.0,32.1804615127,55.9779621605,515.127674433,234.50257676,66.8089,213.816197672
 01/02  16:00:00,196.829543119,36.5030997149,49.8087191034,0.0,32.1804615127,55.9779621605,548.448442254,266.621974162,75.1392,206.687268092
 01/02  17:00:00,231.522404426,36.1932409078,38.0100813529,0.0,32.1804615127,60.9114621605,548.193884597,294.04381871,91.7998,162.350265886
 01/02  18:00:00,273.76307237,35.6740778147,45.3177155624,0.0,32.1804615127,77.5397301883,570.965814809,275.672590738,49.9818,245.311424071
 01/02  19:00:00,343.553055107,35.6740778147,61.0568193489,0.0,77.122965704,86.2600435998,791.466959446,299.691130548,49.9818,441.794028898
 01/02  20:00:00,348.663920497,35.6740778147,58.5714844768,0.0,102.647051061,80.1663183927,675.810294318,319.435682568,33.3212,323.053411751
 01/02  21:00:00,378.999427045,35.6740778147,63.5612934332,0.0,115.40909374,92.7192997104,703.405656227,341.46197601,33.3212,328.622480218
 01/02  22:00:00,368.281633947,35.6740778147,76.4072455513,0.0,102.647051061,94.1340635361,855.214310186,353.268845882,24.9909,476.954564304
 01/02  23:00:00,282.638563211,35.6740778147,57.3012490139,0.0,77.122965704,65.871452062,746.611008051,368.421116255,16.6606,361.529291796
 01/02  24:00:00,190.807708605,35.6816598623,33.2520312261,0.22414656199,38.286128036,48.4199368926,603.546918892,396.672179437,8.3303,198.544439455
 01/03  01:00:00,136.427329877,30.865802336,23.7948091914,0.0,25.5240853573,30.610668775,251.587891599,87.2085338127,3.33212,161.047237787
 01/03  02:00:00,122.857203736,30.865802336,17.5444571491,0.0,19.418418834,29.3649097162,197.910517764,71.9154083861,3.33212,122.662989378
 01/03  03:00:00,110.903464261,30.865802336,13.4937737228,0.0,12.7620426787,28.1191506574,191.724538325,65.7117709523,3.33212,122.680647372
 01/03  04:00:00,108.094802289,30.865802336,10.6977381877,0.0,12.7620426787,28.1191506574,183.531683788,63.9879357597,3.33212,116.211628029
 01/03  05:00:00,115.985962774,30.8961305263,11.3090172491,0.039826551264,12.7620426787,28.1191506574,229.601866212,64.3259679766,3.33212,161.943778236
