Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,105.233613387,22.9043432818,6.49162334913,10.4173809848,4.12243109448,15.9888894789,98.9176370566,95.9259066388,2.97173041782,0.02
 01/02  02:00:00,88.9545784227,19.1577504765,8.64644702606,9.39094339325,4.12243109448,15.9888894789,84.1383372811,81.1466068633,2.97173041782,0.02
 01/02  03:00:00,102.89391349,23.9471880957,10.4374546449,13.0648550388,4.12243109448,15.9888894789,105.793666166,102.801935748,2.97173041782,0.02
 01/02  04:00:00,88.2078388666,19.1577504765,8.06013181125,10.943750082,4.12243109448,15.9888894789,85.7241149347,82.7323845169,2.97173041782,0.02
 01/02  05:00:00,124.647105917,28.3118392646,11.5968478988,11.258437765,12.3672932834,24.9413748627,120.922484391,115.949600361,4.9528840297,0.02
 01/02  06:00:00,152.151800678,27.8949667997,14.6260050451,36.6081369843,12.3672932834,24.9413748627,187.435377146,182.462493117,4.9528840297,0.02
 01/02  07:00:00,207.281599043,28.7948574708,14.2691811308,34.5589937384,24.7345865669,70.7195625826,165.103464543,155.177696484,9.90576805939,0.02
 01/02  08:00:00,218.997569392,28.8505137732,13.4724173832,24.2223873604,37.1018798503,92.3937384068,148.292624803,138.366856743,9.90576805939,0.02
 01/02  09:00:00,219.904038004,28.8699362653,13.572965583,20.1732608429,37.1018798503,104.434947198,141.154256384,131.228488324,9.90576805939,0.02
 01/02  10:00:00,227.129840541,28.9031169285,14.1093946473,16.9202812432,37.1018798503,116.476155989,142.845347583,124.304401394,9.90576805939,8.63517812972
 01/02  11:00:00,223.644351546,28.976577736,15.254440864,13.1905993981,37.1018798503,116.476155989,123.790542169,113.86477411,9.90576805939,0.02
 01/02  12:00:00,224.437717109,29.0392858976,17.1363595618,10.8903509554,37.1018798503,116.476155989,123.007953846,104.459006205,9.90576805939,8.64317958102
 01/02  13:00:00,215.076377172,29.0880187522,18.3228812216,9.41210407257,37.1018798503,104.434947198,120.539961474,101.996904106,9.90576805939,8.63728930901
 01/02  14:00:00,225.790846832,29.1674949412,17.9008860595,8.34481635287,37.1018798503,116.476155989,109.261313943,99.3355458835,9.90576805939,0.02
 01/02  15:00:00,227.835406008,29.2339154179,17.1696719582,7.48396701897,37.1018798503,116.476155989,115.755101033,97.2081347707,9.90576805939,8.64119820329
 01/02  16:00:00,232.101631689,29.1877652163,16.3799822737,7.09937458171,37.1018798503,116.476155989,107.15132718,97.2255591203,9.90576805939,0.02
 01/02  17:00:00,249.584763055,29.1533650293,15.0182844421,7.37193271366,37.1018798503,116.476155989,119.347252437,100.807991093,9.90576805939,8.63349328492
 01/02  18:00:00,255.881212522,29.1427892634,12.7358761963,8.23492477748,37.1018798503,116.476155989,119.488984889,109.56321683,9.90576805939,0.02
 01/02  19:00:00,165.453377529,27.1790753976,7.30737146685,0.0261302653085,24.7345865669,47.5788473902,85.4171583771,80.4442743474,4.9528840297,0.02
 01/02  20:00:00,165.289837653,27.7454573311,4.91574985391,0.261477899688,24.7345865669,47.5788473902,98.7708087389,85.2073014474,4.9528840297,8.61062326183
 01/02  21:00:00,143.212760306,26.612693464,3.24188601666,0.324716602881,12.3672932834,38.6892022431,103.830596905,100.838866487,2.97173041782,0.02
 01/02  22:00:00,120.713469696,22.2246849616,2.43438752203,2.47273416615,12.3672932834,27.0668015668,89.9185627853,86.9268323675,2.97173041782,0.02
 01/02  23:00:00,96.002630007,19.1577504765,1.62430909187,6.00034512892,4.12243109448,15.9888894789,79.4904417909,76.4987113731,2.97173041782,0.02
 01/02  24:00:00,114.64118193,23.9471880957,1.43067655292,10.5340855847,4.12243109448,15.9888894789,101.944777312,98.9530468944,2.97173041782,0.02
 01/03  01:00:00,99.8186978068,19.1577504765,0.463078308424,10.7190390949,4.12243109448,15.9888894789,83.353425218,80.3616948002,2.97173041782,0.02
 01/03  02:00:00,117.961152263,23.9471880957,0.279114679346,15.1480102253,4.12243109448,15.9888894789,105.5158713,102.524140882,2.97173041782,0.02
 01/03  03:00:00,103.064309295,19.1577504765,0.0589635077116,14.3531109523,4.12243109448,15.9888894789,87.97921289,84.9874824722,2.97173041782,0.02
 01/03  04:00:00,122.168428128,23.9471880957,0.0380728523361,19.0067295169,4.12243109448,15.9888894789,114.907098492,111.915368074,2.97173041782,0.02
 01/03  05:00:00,147.049479851,27.8870528145,0.0,14.2363902052,12.3672932834,24.9413748627,138.369009049,133.39612502,4.9528840297,0.02
 01/03  06:00:00,188.444334692,28.3203723265,0.141013275366,54.8245950987,12.3672932834,24.9413748627,193.184215521,188.211331491,4.9528840297,0.02
 01/03  07:00:00,235.195448467,28.7897811689,0.0,44.7247101822,24.7345865669,70.7195625826,220.251014595,210.325246536,9.90576805939,0.02
 01/03  08:00:00,246.389386633,28.8511222628,0.0,34.3313965787,37.1018798503,92.3937384068,211.869467971,201.943699912,9.90576805939,0.02
 01/03  09:00:00,247.668075285,28.8709377257,0.0,30.53627304,37.1018798503,104.434947198,216.213767639,197.676881096,9.90576805939,8.63111848309
 01/03  10:00:00,255.689221871,28.8831646813,0.0,27.7493794744,37.1018798503,116.476155989,200.735179748,190.809411689,9.90576805939,0.02
