Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,58.6665639097,3.29980830829,0.0,0.0,15.863942322,29.242365,60.0418755039,56.8161955039,3.20568,0.02
 01/01  02:00:00,59.3410126955,3.96341798572,0.0,0.0,15.863942322,29.242365,93.96634348,90.74066348,3.20568,0.02
 01/01  03:00:00,59.2503687405,3.86183065938,0.0,0.0,15.863942322,29.242365,101.016706308,94.9276764864,3.20568,2.88334982208
 01/01  04:00:00,59.760566335,4.38055833473,0.0,0.0,15.863942322,29.242365,98.6204180583,95.3947380583,3.20568,0.02
 01/01  05:00:00,60.1039866171,4.49060120374,0.0,0.0,15.863942322,29.242365,110.836910704,104.747887623,3.20568,2.88334308169
 01/01  06:00:00,60.463966723,4.86960209146,0.0,0.0,15.863942322,29.242365,112.235785956,109.010105956,3.20568,0.02
 01/01  07:00:00,60.1221719214,4.49060120374,0.0,0.0,15.863942322,29.242365,124.817595443,118.728578759,3.20568,2.88333668384
 01/01  08:00:00,54.4881026804,4.67747775846,0.0,0.0,15.863942322,29.242365,98.8155304784,95.5898504784,3.20568,0.02
 01/01  09:00:00,51.446524971,4.49060120374,0.0,0.0,15.863942322,29.242365,94.6607344284,88.5697846818,3.20568,2.88526974657
 01/01  10:00:00,50.8466607609,3.89457459886,0.0,0.0,15.863942322,29.242365,82.9347961027,76.843888778,3.20568,2.88522732468
 01/01  11:00:00,50.5926438585,3.65530049878,0.0,0.0,15.863942322,29.242365,67.9422939752,64.7166139752,3.20568,0.02
 01/01  12:00:00,50.6704639274,3.02671406725,0.0,0.0,15.863942322,29.242365,53.6929820691,47.6020265524,3.20568,2.88527551671
