Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.5213776003,2.16736884767,0.0,0.0,1.85583932782,5.577,55.4754971223,50.1611932872,3.0011,2.31320383516
 01/01  02:00:00,9.47360426984,0.0,0.0,0.0,0.618613109274,5.0,3.59318103054,0.0,3.0011,0.592081030541
 01/01  03:00:00,9.49430594903,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  04:00:00,9.5066302193,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.65671603035,0.0,0.0,0.0,0.618613109274,5.0,3.59316971362,0.0,3.0011,0.592069713618
 01/01  06:00:00,13.6612231289,2.16736884767,0.0,0.0,1.85583932782,5.577,66.4203208258,61.8986708258,4.50165,0.02
 01/01  07:00:00,28.1363945354,2.16736884767,0.0,0.0,3.71167865564,18.077,71.1645393885,55.9215759151,13.50495,1.73801347341
 01/01  08:00:00,26.1912697525,2.16736884767,0.0,0.0,3.71167865564,18.077,75.3447346594,52.598762581,21.0077,1.73827207846
 01/01  09:00:00,20.5586668086,2.16736884767,0.0,0.0,3.71167865564,13.077,68.5906143105,51.8467565898,15.0055,1.73835772071
 01/01  10:00:00,20.5693910863,2.16736884767,0.0,0.0,3.71167865564,13.077,64.8885219455,48.1447500918,15.0055,1.73827185371
 01/01  11:00:00,25.5666648612,2.16736884767,0.0,0.0,3.71167865564,18.077,80.1278572734,41.9257350231,33.0121,5.19002225038
 01/01  12:00:00,26.723468777,2.16736884767,0.0,0.0,3.71167865564,18.077,81.8505538069,36.1449797745,40.51485,5.19072403248
 01/01  13:00:00,25.7872139839,2.16736884767,0.0,0.0,3.71167865564,18.077,73.0571922473,33.0065266007,36.0132,4.03746564666
 01/01  14:00:00,25.587055153,2.16736884767,0.0,0.0,3.71167865564,18.077,66.8632228363,31.3139706052,31.51155,4.03770223105
 01/01  15:00:00,20.5904255214,2.16736884767,0.0,0.0,3.71167865564,13.077,56.2212569432,32.326407778,21.0077,2.88714916521
 01/01  16:00:00,20.5758143008,2.16736884767,0.0,0.0,3.71167865564,13.077,57.6233344691,34.6550284999,19.50715,3.46115596915
 01/01  17:00:00,23.0249659263,2.16736884767,0.0,0.0,3.71167865564,13.077,61.2812625667,35.8859202874,22.50825,2.88709227926
 01/01  18:00:00,28.0269133393,2.16736884767,0.0,0.0,3.71167865564,18.077,63.2366740237,33.6893593751,25.50935,4.03796464862
 01/01  19:00:00,28.0304269017,2.16736884767,0.0,0.0,3.71167865564,18.077,63.1374926664,32.4378548341,25.50935,5.19028783229
 01/01  20:00:00,28.1792822617,2.16736884767,0.0,0.0,3.71167865564,18.077,59.6075448928,29.4826439898,25.50935,4.61555090304
 01/01  21:00:00,23.1868699724,2.16736884767,0.0,0.0,3.71167865564,13.077,53.8211420217,26.7013326432,22.50825,4.6115593785
 01/01  22:00:00,23.140008068,2.16736884767,0.0,0.0,3.71167865564,13.077,49.6610260229,24.038444839,21.0077,4.61488118398
 01/01  23:00:00,23.0415980808,2.16736884767,0.0,0.0,3.71167865564,13.077,46.5240131319,24.4801307027,18.0066,4.03728242923
 01/01  24:00:00,24.2232105697,2.16736884767,0.0,0.0,3.71167865564,13.077,32.2166494033,26.9035619623,3.0011,2.31198744098
 01/02  01:00:00,13.7520964057,2.16736884767,0.0,0.0,1.85583932782,5.577,39.1952384995,33.88258767,3.0011,2.31155082953
 01/02  02:00:00,9.5126235461,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  03:00:00,9.53321690654,0.0,0.0,0.0,0.618613109274,5.0,3.59315128143,0.0,3.0011,0.592051281433
 01/02  04:00:00,9.54532194949,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  05:00:00,9.6942835642,0.0,0.0,0.0,0.618613109274,5.0,3.59318308936,0.0,3.0011,0.592083089364
 01/02  06:00:00,13.688849545,2.16736884767,0.0,0.0,1.85583932782,5.577,45.5313866802,41.0097366802,4.50165,0.02
 01/02  07:00:00,28.1577240032,2.16736884767,0.0,0.0,3.71167865564,18.077,50.9638037748,35.7208397328,13.50495,1.73801404208
 01/02  08:00:00,26.2129937551,2.16736884767,0.0,0.0,3.71167865564,18.077,59.9969746005,33.2195470724,21.0077,5.7697275281
 01/02  09:00:00,20.5796020191,2.16736884767,0.0,0.0,3.71167865564,13.077,54.6601972957,33.8871840913,15.0055,5.76751320433
 01/02  10:00:00,20.5943432169,2.16736884767,0.0,0.0,3.71167865564,13.077,52.6766679248,33.0572328353,15.0055,4.61393508951
 01/02  11:00:00,25.6023825727,2.16736884767,0.0,0.0,3.71167865564,18.077,63.9834328076,26.9328771958,33.0121,4.03845561179
 01/02  12:00:00,26.7620233573,2.16736884767,0.0,0.0,3.71167865564,18.077,64.0468249909,18.9182167016,40.51485,4.61375828926
 01/02  13:00:00,25.8520855568,2.16736884767,0.0,0.0,3.71167865564,18.077,53.6947279786,13.6437919475,36.0132,4.03773603107
 01/02  14:00:00,25.6460493251,2.16736884767,0.0,0.0,3.71167865564,18.077,50.0940887091,15.1205530868,31.51155,3.46198562231
 01/02  15:00:00,20.6346058544,2.16736884767,0.0,0.0,3.71167865564,13.077,44.37737025,19.9085766267,21.0077,3.46109362324
 01/02  16:00:00,20.6054764931,2.16736884767,0.0,0.0,3.71167865564,13.077,46.885024514,24.4901403134,19.50715,2.88773420062
 01/02  17:00:00,23.0338785813,2.16736884767,0.0,0.0,3.71167865564,13.077,54.751259835,28.7816705644,22.50825,3.46133927053
 01/02  18:00:00,28.0236771684,2.16736884767,0.0,0.0,3.71167865564,18.077,60.8832236995,31.3355883604,25.50935,4.03828533907
 01/02  19:00:00,28.0215085815,2.16736884767,0.0,0.0,3.71167865564,18.077,66.7855226562,36.0839211541,25.50935,5.19225150209
 01/02  20:00:00,28.1631564171,2.16736884767,0.0,0.0,3.71167865564,18.077,72.9926810486,41.1378148347,25.50935,6.34551621386
 01/02  21:00:00,23.1481532461,2.16736884767,0.0,0.0,3.71167865564,13.077,73.7985562718,46.6751942235,22.50825,4.61511204833
 01/02  22:00:00,23.0844138483,2.16736884767,0.0,0.0,3.71167865564,13.077,76.0592127338,49.2832298302,21.0077,5.76828290364
 01/02  23:00:00,22.9812477962,2.16736884767,0.0,0.0,3.71167865564,13.077,74.9805550388,52.36115696,18.0066,4.61279807876
