Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,149.422789383,31.901948571,0.0,0.0,43.513341876,52.539744,147.489171892,142.634911892,4.83426,0.02
 01/01  02:00:00,152.821134211,35.2888204862,0.0,0.0,43.513341876,52.539744,157.005111327,152.150851327,4.83426,0.02
 01/01  03:00:00,154.215065414,36.5550798523,0.0,0.0,43.513341876,52.539744,235.113064563,230.258804563,4.83426,0.02
 01/01  04:00:00,144.575926821,27.0265157241,0.0,0.0,43.513341876,52.539744,156.335792077,151.481532077,4.83426,0.02
 01/01  05:00:00,155.800834539,37.6638539312,0.0,0.0,43.513341876,52.539744,249.169824348,235.721194587,4.83426,8.61436976136
 01/01  06:00:00,152.294000042,34.3069243138,0.0,0.0,43.513341876,52.539744,165.675009284,160.820749284,4.83426,0.02
 01/01  07:00:00,157.704881547,39.5206446171,0.0,0.0,43.513341876,52.539744,248.360186646,243.505926646,4.83426,0.02
 01/01  08:00:00,128.376052863,22.4711669182,0.0,0.0,43.513341876,52.539744,138.37206194,133.51780194,4.83426,0.02
 01/01  09:00:00,131.063489638,31.011209458,0.0,0.0,43.513341876,52.539744,202.968846914,189.512957823,4.83426,8.62162909006
 01/01  10:00:00,115.077269063,15.1427945291,0.0,0.0,43.513341876,52.539744,118.682144725,113.827884725,4.83426,0.02
 01/01  11:00:00,118.400857192,18.4148706077,0.0,0.0,43.513341876,52.539744,154.542877049,149.688617049,4.83426,0.02
 01/01  12:00:00,118.237217186,17.421557318,0.0,0.0,43.513341876,52.539744,101.837533319,88.3804894119,4.83426,8.6227839068
