Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,41.8693028241,5.3800459155,0.0570169007373,5.8655850558,12.925468867,10.100111941,48.7291300681,42.9584366319,0.0,5.77069343619
 01/01  02:00:00,44.7995440327,5.46759595009,0.0387501687006,8.72781230392,12.925468867,10.100111941,53.5014929021,53.4814929021,0.0,0.02
 01/01  03:00:00,41.1305211607,5.49865135806,0.0296711851718,9.65584986181,8.34152022915,10.0650221343,58.9073655676,53.1440401475,0.0,5.7633254201
 01/01  04:00:00,41.8074957185,5.52218196472,0.0237958267202,10.315169003,8.34152022915,10.0650221343,57.8170053655,52.0538926215,0.0,5.76311274398
 01/01  05:00:00,44.5979019103,5.55841201909,0.0176759659339,11.4687022956,8.34152022915,11.6705166398,58.7212903427,52.9505709118,0.0,5.77071943086
 01/01  06:00:00,49.5821641432,5.58357255163,0.0130169551216,12.2740086951,8.80141237637,15.3678112995,57.9667673232,52.1881842456,0.0,5.77858307765
 01/01  07:00:00,68.6086973314,5.54840837052,0.0200011671662,11.351822921,18.5082010057,25.6353820695,63.7851646898,52.2179384321,0.0,11.5672262577
 01/01  08:00:00,76.4777579074,5.45162087223,0.0438801484201,8.49027128316,19.4926561212,41.1001056674,67.8104491102,50.3543330309,0.0,17.4561160793
 01/01  09:00:00,94.932685711,5.36319235966,0.498025715413,4.70553482853,26.3286599382,57.9988325916,82.3625068194,40.66648042,0.0,41.6960263994
 01/01  10:00:00,82.7646559238,5.38789572226,2.10216208132,6.18281925292,26.2443270014,42.8153538416,90.6820195813,37.1571445007,18.025,35.4998750806
