Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,82.9791222225,4.32938710263,0.0,0.0,3.49369000822,6.81298672936,14.4522096161,12.6809596161,1.75125,0.02
 01/01  02:00:00,89.1992390047,13.3441084343,0.0,0.0,3.49369000822,6.81298672936,42.4032607818,40.6320107818,1.75125,0.02
 01/01  03:00:00,86.3248125008,10.8654973127,0.0,0.0,3.49369000822,6.81298672936,33.7250639129,30.8095099273,1.75125,1.16430398558
 01/01  04:00:00,92.3417321835,17.1650252863,0.0,0.0,3.49369000822,6.81298672936,52.9559070171,51.1846570171,1.75125,0.02
 01/01  05:00:00,99.4622662017,17.6130671132,0.0,0.0,3.49369000822,6.81298672936,55.1734851788,53.4022351788,1.75125,0.02
 01/01  06:00:00,95.8580840507,14.4791362648,0.0,0.0,3.49369000822,6.81298672936,45.9137497409,42.9981675604,1.75125,1.16433218049
 01/01  07:00:00,124.893769115,30.0799211949,0.0,0.0,6.98738001645,14.1499734587,567.367716605,563.845216605,3.5025,0.02
 01/01  08:00:00,123.764448692,30.0799211949,0.0,0.0,6.98738001645,14.1499734587,519.196901631,515.674401631,3.5025,0.02
 01/01  09:00:00,155.861238755,30.0799211949,0.0,0.0,6.98738001645,14.1499734587,452.717279976,448.05031424,3.5025,1.16446573609
 01/01  10:00:00,128.441512449,30.0799211949,0.0,0.0,6.98738001645,14.1499734587,427.453664884,423.931164884,3.5025,0.02
 01/01  11:00:00,163.128832472,30.0799211949,0.0,0.0,27.9495200658,27.7759469175,386.63692319,378.467030642,7.005,1.16489254758
 01/01  12:00:00,194.503687201,30.0799211949,0.0,0.0,27.9495200658,27.7759469175,364.732402263,356.562419101,7.005,1.16498316218
 01/01  13:00:00,201.645737519,30.0799211949,0.0,0.0,41.9242800987,36.8599292233,332.21204552,321.707033114,9.34,1.1650124054
 01/01  14:00:00,198.975568863,30.0799211949,0.0,0.0,41.9242800987,36.8599292233,314.081675526,303.57669064,9.34,1.16498488584
 01/01  15:00:00,195.207928327,30.0799211949,0.0,0.0,41.9242800987,36.8599292233,300.438846219,289.93394993,9.34,1.16489628867
 01/01  16:00:00,191.816541412,30.0799211949,0.0,0.0,41.9242800987,36.8599292233,302.073599916,291.568519054,9.34,1.16508086164
 01/01  17:00:00,205.408566855,30.0799211949,0.0,0.0,41.9242800987,36.8599292233,304.02983561,293.524730931,9.34,1.1651046787
 01/01  18:00:00,176.965101767,30.0799211949,0.0,0.0,27.9495200658,27.7759469175,350.925881414,342.755891149,7.005,1.16499026466
 01/01  19:00:00,183.380999528,30.0799211949,0.0,0.0,13.9747600329,18.6919646116,370.771642521,364.936864238,4.67,1.16477828301
 01/01  20:00:00,163.54454278,30.0799211949,0.0,0.0,13.9747600329,18.6919646116,358.593177983,353.903177983,4.67,0.02
 01/01  21:00:00,155.263116303,30.0799211949,0.0,0.0,13.9747600329,18.6919646116,338.174159441,332.33951205,4.67,1.16464739088
 01/01  22:00:00,141.887511454,30.0799211949,0.0,0.0,13.9747600329,18.6919646116,278.311595847,272.47700605,4.67,1.16458979709
 01/01  23:00:00,81.5481295378,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,117.171148322,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/02  01:00:00,88.5122089649,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49927787179,0.0,2.335,1.16427787179
 01/02  02:00:00,80.4040205574,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,88.0346376428,8.65877420525,0.0,0.0,3.49369000822,9.08398230582,14.379134899,12.024134899,2.335,0.02
 01/02  04:00:00,92.1861432238,12.9881613079,0.0,0.0,3.49369000822,9.08398230582,23.8964605326,20.3972143281,2.335,1.16424620443
 01/02  05:00:00,98.8658368683,12.9881613079,0.0,0.0,3.49369000822,9.08398230582,23.8381582827,21.4831582827,2.335,0.02
 01/02  06:00:00,94.1943433504,8.65877420525,0.0,0.0,3.49369000822,9.08398230582,18.9401685937,16.5851685937,2.335,0.02
 01/02  07:00:00,140.005450126,30.0799211949,0.0,0.0,13.9747600329,18.6919646116,415.183796307,409.349548933,4.67,1.164247374
 01/02  08:00:00,138.948445475,30.0799211949,0.0,0.0,13.9747600329,18.6919646116,376.409844287,371.719844287,4.67,0.02
 01/02  09:00:00,211.72924688,30.0799211949,0.0,0.0,34.9369000822,32.3179380704,337.14772372,327.810447282,8.1725,1.16477643871
 01/02  10:00:00,237.061354087,30.0799211949,0.0,0.0,62.886420148,41.4019203762,291.589399109,279.917079694,10.5075,1.16481941508
 01/02  11:00:00,228.447411341,30.0799211949,0.0,0.0,62.886420148,41.4019203762,262.466895604,250.794360653,10.5075,1.16503495109
 01/02  12:00:00,259.685843195,30.0799211949,0.0,0.0,62.886420148,41.4019203762,229.318433656,217.645588906,10.5075,1.16534474932
 01/02  13:00:00,240.087339231,30.0799211949,0.0,0.0,62.886420148,41.4019203762,213.451070279,200.632398512,10.5075,2.3111717669
 01/02  14:00:00,236.529738688,30.0799211949,0.0,0.0,62.886420148,41.4019203762,211.366977953,199.693742483,10.5075,1.16573547017
