Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.4598791175,3.94730051958,0.0,0.0,4.58992532963,8.1892,76.8552846915,66.0093495252,3.33988,7.50605516634
 01/01  02:00:00,14.7163587551,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.7225591922,0.0,0.0,0.0,1.52997510988,7.4902,3.93194537339,0.0,3.33988,0.592065373391
 01/01  04:00:00,14.7197875081,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.8574739791,0.0,0.0,0.0,1.52997510988,7.4902,3.93195128147,0.0,3.33988,0.59207128147
 01/01  06:00:00,22.5530303906,3.94730051958,0.0,0.0,4.58992532963,8.1892,93.8040914611,85.4343914611,8.3497,0.02
 01/01  07:00:00,38.5149184224,3.94730051958,0.0126783370994,0.0,9.17985065927,19.4245,104.179195515,82.8645143609,16.6994,4.61528115461
 01/01  08:00:00,45.9795265807,3.94730051958,0.0107860905737,0.0,9.17985065927,26.9147,103.961918327,73.7233095605,25.0491,5.18950876647
 01/01  09:00:00,41.7504273067,3.94730051958,0.00304892436355,0.0,9.17985065927,26.9147,110.161953157,72.1501467988,33.3988,4.61300635804
 01/01  10:00:00,34.26060086,3.94730051958,0.0,0.0,9.17985065927,19.4245,106.6825535,77.0193828227,25.0491,4.61407067686
 01/01  11:00:00,41.7613084358,3.94730051958,0.00528992989288,0.0,9.17985065927,26.9147,127.873476958,71.0238318382,41.7485,15.1011451203
 01/01  12:00:00,42.5354075594,3.94730051958,0.0,0.0,9.17985065927,26.9147,121.875750845,65.025561274,41.7485,15.101689571
 01/01  13:00:00,41.825942733,3.94730051958,0.0,0.0,9.17985065927,26.9147,111.204051264,57.2898022766,41.7485,12.1657489874
 01/01  14:00:00,34.3051949516,3.94730051958,0.0,0.0,9.17985065927,19.4245,101.624760548,56.0612670033,33.3988,12.1646935443
 01/01  15:00:00,34.305952694,3.94730051958,0.0,0.0,9.17985065927,19.4245,93.520210131,59.2217002275,25.0491,9.24940990354
 01/01  16:00:00,34.2931950496,3.94730051958,0.0,0.0,9.17985065927,19.4245,106.122830099,63.4747256095,33.3988,9.24930448964
 01/01  17:00:00,41.7191820922,3.94730051958,0.00597684628521,0.0,9.17985065927,26.9147,122.875434073,63.5278401511,50.0982,9.2493939222
 01/01  18:00:00,45.9508388256,3.94730051958,0.0,0.0,9.17985065927,26.9147,127.991546085,65.7264778723,50.0982,12.1668682128
 01/01  19:00:00,45.9517896014,3.94730051958,0.0,0.0,9.17985065927,26.9147,128.520881011,63.3218005177,50.0982,15.1008804934
 01/01  20:00:00,38.593622147,3.94730051958,0.0,0.0,9.17985065927,19.4245,111.22428852,62.7236739612,33.3988,15.1018145588
 01/01  21:00:00,38.575172437,3.94730051958,0.0,0.0,9.17985065927,19.4245,107.194926783,61.6302867758,33.3988,12.1658400072
 01/01  22:00:00,38.5037110334,3.94730051958,0.0,0.0,9.17985065927,19.4245,109.316001762,69.1638866177,25.0491,15.1030151441
 01/01  23:00:00,38.3934582625,3.94730051958,0.0,0.0,9.17985065927,19.4245,101.614288851,72.7477045325,16.6994,12.1671843189
 01/01  24:00:00,39.2024815549,3.94730051958,0.0,0.0,9.17985065927,19.4245,87.8132138228,73.1169496934,8.3497,6.3465641294
 01/02  01:00:00,22.4456045779,3.94730051958,0.0,0.0,4.58992532963,8.1892,90.7438719061,81.0572810835,3.33988,6.34671082264
 01/02  02:00:00,14.6684274513,0.0,0.0,0.0,1.52997510988,7.4902,3.93194561635,0.0,3.33988,0.592065616354
 01/02  03:00:00,14.6993549478,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.7189514548,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  05:00:00,14.8731444862,0.0,0.0,0.0,1.52997510988,7.4902,3.93195153001,0.0,3.33988,0.592071530006
 01/02  06:00:00,22.5839851754,3.94730051958,0.0,0.0,4.58992532963,8.1892,82.957216013,74.587516013,8.3497,0.02
 01/02  07:00:00,38.5532186174,3.94730051958,0.0152879760084,0.0,9.17985065927,19.4245,90.6750000816,68.7861944437,16.6994,5.18940563792
 01/02  08:00:00,46.0339539217,3.94730051958,0.0205040852125,0.0,9.17985065927,26.9147,101.932556624,58.8279194403,25.0491,18.0555371832
 01/02  09:00:00,41.8076254895,3.94730051958,0.0,0.0,9.17985065927,26.9147,102.539440558,52.8571580305,33.3988,16.2834825271
 01/02  10:00:00,34.3372782464,3.94730051958,0.0,0.0,9.17985065927,19.4245,86.0919292618,47.1181130947,25.0491,13.924716167
 01/02  11:00:00,41.838229952,3.94730051958,0.00479998806551,0.0,9.17985065927,26.9147,98.9392233684,45.0248102767,41.7485,12.1659130917
 01/02  12:00:00,42.5797535329,3.94730051958,0.0,0.0,9.17985065927,26.9147,89.7333698995,34.0638210273,41.7485,13.9210488722
 01/02  13:00:00,41.9086599253,3.94730051958,0.0,0.0,9.17985065927,26.9147,76.4780858535,22.5640629458,41.7485,12.1655229077
 01/02  14:00:00,34.403791203,3.94730051958,0.00317840885361,0.0,9.17985065927,19.4245,61.8066782654,17.9905524315,33.3988,10.4173258339
 01/02  15:00:00,34.4205061778,3.94730051958,0.0,0.0,9.17985065927,19.4245,53.4680236189,19.1684433975,25.0491,9.2504802213
 01/02  16:00:00,34.4128350679,3.94730051958,0.0,0.0,9.17985065927,19.4245,63.6834827204,21.0345507712,33.3988,9.25013194917
 01/02  17:00:00,41.8515235585,3.94730051958,0.0160086184689,0.0,9.17985065927,26.9147,77.9932828517,18.6453048799,50.0982,9.24977797179
 01/02  18:00:00,46.0876111737,3.94730051958,0.00461549992967,0.0,9.17985065927,26.9147,75.3975473469,13.1317761477,50.0982,12.1675711992
 01/02  19:00:00,46.0940906764,3.94730051958,0.00521170545024,0.0,9.17985065927,26.9147,74.6707502592,7.70631547392,50.0982,16.8662347853
 01/02  20:00:00,38.7275324766,3.94730051958,0.0,0.0,9.17985065927,19.4245,65.6343828437,14.1837121769,33.3988,18.0518706667
 01/02  21:00:00,38.6816460635,3.94730051958,0.0,0.0,9.17985065927,19.4245,69.6669372586,21.1671591966,33.3988,15.1009780621
 01/02  22:00:00,38.5894642759,3.94730051958,0.0,0.0,9.17985065927,19.4245,76.4106750016,34.4939487942,25.0491,16.8676262074
 01/02  23:00:00,38.4636485298,3.94730051958,0.0,0.0,9.17985065927,19.4245,75.6242435358,45.0055761164,16.6994,13.9192674194
 01/02  24:00:00,39.2368828898,3.94730051958,0.0,0.0,9.17985065927,19.4245,68.6667661026,52.8099318201,8.3497,7.50713428246
 01/03  01:00:00,22.4928542003,3.94730051958,0.0,0.0,4.58992532963,8.1892,72.5509294165,62.8644857044,3.33988,6.34656371209
 01/03  02:00:00,14.7089015752,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  03:00:00,14.7292706992,0.0,0.0,0.0,1.52997510988,7.4902,3.93197348639,0.0,3.33988,0.592093486385
 01/03  04:00:00,14.7404562597,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  05:00:00,15.4012272406,0.0,0.0,0.0,1.52997510988,7.4902,3.93192763423,0.0,3.33988,0.592047634234
 01/03  06:00:00,23.1047275452,3.94730051958,0.0,0.0,4.58992532963,8.1892,81.3276255298,72.9579255298,8.3497,0.02
