Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,758.656716197,96.5369833293,331.107099431,0.0,34.9616554283,113.312780494,653.46553067,639.061982595,5.66466996096,8.73887811482
 01/01  02:00:00,802.064146673,96.5369833293,357.731646142,0.0,34.9616554283,113.312780494,665.681579746,642.553028885,5.66466996096,17.4638808997
 01/01  03:00:00,780.607388784,96.5369833293,333.351830801,0.0,34.9616554283,113.312780494,673.657912423,650.529568332,5.66466996096,17.4636741303
 01/01  04:00:00,758.764488258,96.5369833293,310.950999753,0.0,34.9616554283,113.312780494,679.975520271,656.847422816,5.66466996096,17.4634274941
 01/01  05:00:00,746.021374638,96.5369833293,290.549329287,0.0,44.4937663224,113.312780494,683.908565311,660.780723822,5.66466996096,17.4631715286
 01/01  06:00:00,726.253689357,96.5369833293,274.725741239,0.0,44.4937663224,113.312780494,710.121592785,678.497004204,14.1616749024,17.462913678
 01/01  07:00:00,786.430639181,96.5369833293,263.440022889,0.0,54.0258772165,176.889270242,668.480509313,622.694503754,28.3233498048,17.4626557534
 01/01  08:00:00,783.511911948,96.5369833293,252.201117476,0.0,54.0258772165,184.38654557,689.288622187,629.341199286,42.4850247072,17.4623981945
 01/01  09:00:00,846.555918014,96.5369833293,252.698200144,0.0,65.1572554096,220.04316451,679.371633006,596.401237869,56.6466996096,26.3236955271
 01/01  10:00:00,848.708190029,96.5369833293,260.967601753,0.0,65.1572554096,212.545889182,644.945699566,575.995806246,42.4850247072,26.4648686132
 01/01  11:00:00,874.740272751,96.5369833293,276.832335512,0.0,65.1572554096,220.04316451,644.332641393,538.046375696,70.808374512,35.477891185
 01/01  12:00:00,890.453880157,96.5369833293,291.038869393,0.0,65.1572554096,220.04316451,620.015620108,513.733007701,70.808374512,35.4742378957
 01/01  13:00:00,900.984060194,96.5369833293,302.218809314,0.0,65.1572554096,220.04316451,598.506760645,492.227963361,70.808374512,35.4704227712
