Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,168.582316572,30.9401245581,44.5825544573,0.0,34.4311606118,33.1021868926,192.928068876,42.7990112107,3.33212,146.796937665
 01/01  02:00:00,163.281678771,30.9401245581,39.3040415325,0.0,34.4311606118,33.1021868926,150.083649184,31.3938919427,3.33212,115.357637241
 01/01  03:00:00,141.095446147,30.9401245581,34.5257837961,0.0,19.466279405,30.610668775,153.139270344,34.4744621312,3.33212,115.332688212
 01/01  04:00:00,138.559452244,30.9401245581,31.9324587913,0.0,19.466279405,30.610668775,149.6029366,36.1466216254,3.33212,110.124194974
 01/01  05:00:00,146.330464803,30.9401245581,33.0742312671,0.0,19.466279405,30.610668775,191.789905452,36.4921957972,3.33212,151.965589654
 01/01  06:00:00,159.819996848,30.9401245581,34.3151793982,0.0,19.466279405,30.610668775,231.264222883,35.0209614575,8.3303,187.912961425
 01/01  07:00:00,241.838282486,32.9576625599,42.8231720645,0.0,42.6918050922,54.3732441037,318.641330909,34.480703223,16.6606,267.500027686
 01/01  08:00:00,323.138059082,35.7822157624,66.1611050819,0.0,49.3960418185,88.5934452969,689.959509146,220.15991337,24.9909,444.808695776
 01/01  09:00:00,365.015152435,35.7822157624,92.9480358189,0.0,57.6566862989,112.030105488,915.189935189,253.260882925,33.3212,628.607852264
 01/01  10:00:00,291.620495657,36.0483595006,75.474225782,0.0,50.9524495726,81.1684271793,769.312262642,245.206232101,66.8089,457.297130541
 01/01  11:00:00,231.961313191,36.2148526417,60.7050805702,0.0,42.6918050922,68.9656133826,671.243454242,246.655677272,83.4695,341.11827697
 01/01  12:00:00,225.48901729,36.3286068582,57.8498793401,0.0,38.286128036,68.9656133826,606.672418548,245.582095371,83.4695,277.620823177
 01/01  13:00:00,230.611999912,36.420218784,63.7148978858,0.0,38.286128036,68.9656133826,517.876475996,237.239395405,83.4695,197.167580591
 01/01  14:00:00,213.491873573,36.5107168719,65.4441671043,0.0,31.5818913096,56.727595265,509.082736573,236.807321305,75.1392,197.136215267
 01/01  15:00:00,215.766056039,36.5619863864,67.6637701093,0.0,31.5818913096,56.727595265,501.029032755,237.772673617,66.8089,196.447459138
 01/01  16:00:00,201.514906627,36.5466274717,53.4771187929,0.0,31.5818913096,56.727595265,517.873991201,246.277788686,75.1392,196.457002515
 01/01  17:00:00,223.79880595,36.221423629,46.8503411397,0.0,31.5818913096,61.661095265,489.26512655,247.725773268,91.7998,149.739553282
 01/01  18:00:00,270.459658134,35.7822157624,49.4721942604,0.0,31.5818913096,70.9729253606,494.727082901,252.123899167,49.9818,192.621383734
 01/01  19:00:00,341.310637736,35.7822157624,58.6084600001,0.0,80.3315023541,83.7685254822,535.775294778,259.157684762,49.9818,226.635810016
 01/01  20:00:00,357.61164199,35.7822157624,70.979641445,0.0,102.000620287,77.6748002752,587.610835067,250.087706534,33.3212,304.201928532
 01/01  21:00:00,386.931524671,35.7822157624,79.7788039115,0.0,108.704857014,91.4735406516,575.798644213,243.040655582,33.3212,299.43678863
 01/01  22:00:00,359.815082917,35.7822157624,80.822759892,0.0,95.2963835608,89.1510273009,567.022465535,242.237422678,24.9909,299.794142857
 01/01  23:00:00,304.967192691,35.7822157624,79.1375481895,0.0,80.3315023541,63.3799339444,707.908117094,248.633466538,16.6606,442.614050556
 01/01  24:00:00,217.574293918,35.7822157624,56.1005816533,0.0,42.6918050922,48.4199368926,523.463149113,258.194399149,8.3303,256.938449964
 01/02  01:00:00,152.844856076,30.9401245581,40.1598335142,0.0,25.5240853573,30.610668775,212.438333264,55.8653952238,3.33212,153.24081804
 01/02  02:00:00,139.379680403,30.9401245581,34.0224698256,0.0,19.418418834,29.3649097162,156.724075924,44.5959869795,3.33212,108.795968944
 01/02  03:00:00,130.235833646,30.9401245581,32.7977797843,0.0,12.7620426787,28.1191506574,155.311843265,36.7777600822,3.33212,115.201963183
 01/02  04:00:00,129.124417535,30.9401245581,31.7275785982,0.0,12.7620426787,28.1191506574,144.015125481,31.9096153485,3.33212,108.773390132
 01/02  05:00:00,167.053744354,30.9401245581,62.9761768237,0.0,12.7620426787,28.1191506574,186.890684801,30.2791248813,3.33212,153.27943992
 01/02  06:00:00,199.075813404,30.9401245581,67.3627366594,0.0,25.5240853573,30.610668775,294.949908687,29.0244237852,8.3303,257.595184902
 01/02  07:00:00,326.348114504,33.3611701602,94.3718578753,0.0,51.0481707146,78.1489452969,489.346263971,27.2240163573,16.6606,445.461647614
 01/02  08:00:00,400.621355491,35.7822157624,107.695493256,0.0,64.3609230253,109.708623606,774.66952096,154.292562054,24.9909,595.386058906
 01/02  09:00:00,307.168788751,35.7822157624,74.2739139598,0.0,51.0481707146,80.7689615957,637.517039651,149.169832012,33.3212,455.026007639
 01/02  10:00:00,265.89054408,36.329736686,61.1136209523,0.0,51.0481707146,71.0224615957,538.769753141,130.602074409,66.8089,341.358778733
 01/02  11:00:00,197.10026216,36.4212554625,41.3178559183,0.0,32.1804615127,65.7244621605,480.177090294,121.911525468,83.4695,274.796064826
 01/02  12:00:00,180.46426257,36.4739864784,24.2575517887,0.0,32.1804615127,65.7244621605,391.632913421,110.578786866,83.4695,197.584626555
 01/02  13:00:00,182.666546819,36.5126026828,27.2829724411,0.0,32.1804615127,65.7244621605,374.02409242,93.331667436,83.4695,197.222924984
 01/02  14:00:00,176.678231151,36.5456636888,31.0857055831,0.0,32.1804615127,55.9779621605,344.545406691,72.5437194653,75.1392,196.862487226
 01/02  15:00:00,183.254082942,36.5750427254,37.6794756722,0.0,32.1804615127,55.9779621605,315.615282841,52.2718491845,66.8089,196.534533656
 01/02  16:00:00,199.423902303,36.6024456281,53.787200693,0.0,32.1804615127,55.9779621605,316.233308696,44.5484816896,75.1392,196.545627007
 01/02  17:00:00,226.172993318,36.3035497304,51.5731689687,0.0,32.1804615127,60.9114621605,286.704808403,41.1857926443,91.7998,153.719215759
