Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,80.0340787989,21.3647817114,9.89566331777,0.285330739781,4.12243109448,15.9888894789,95.6582882913,92.6665578734,2.97173041782,0.02
 01/02  02:00:00,73.5581185311,18.4878805987,7.27018196325,1.58225066675,4.12243109448,15.9888894789,82.3468333609,79.3551029431,2.97173041782,0.02
 01/02  03:00:00,84.3316003152,23.3258178555,9.62185385759,2.85673582652,4.12243109448,15.9888894789,103.021960308,100.03022989,2.97173041782,0.02
 01/02  04:00:00,76.3312862406,19.0062016558,7.93364249434,3.68446019339,4.12243109448,15.9888894789,83.4183371184,80.4266067006,2.97173041782,0.02
 01/02  05:00:00,112.031207673,28.1637551123,12.0204648282,3.96841861649,12.3672932834,24.9413748627,118.091596622,113.118712592,4.9528840297,0.02
 01/02  06:00:00,136.627985984,28.2147553376,15.549735096,25.5167911003,12.3672932834,24.9413748627,185.185143642,180.212259613,4.9528840297,0.02
 01/02  07:00:00,193.212854823,29.1670618203,15.9999096558,23.9355582445,24.7345865669,70.7195625826,154.238276896,144.312508837,9.90576805939,0.02
 01/02  08:00:00,217.954921103,29.2875430677,16.3319193215,17.2106423646,37.1018798503,92.3937384068,132.26172799,122.335959931,9.90576805939,0.02
 01/02  09:00:00,212.829172403,29.3572627729,17.4480251656,15.1662359,37.1018798503,104.434947198,126.049233159,116.1234651,9.90576805939,0.02
 01/02  10:00:00,226.254184248,29.4028263873,18.9410644675,13.5741958114,37.1018798503,116.476155989,131.21278084,112.675459952,9.90576805939,8.63155282845
 01/02  11:00:00,226.088355641,29.4420427721,19.9291355759,11.9168958781,37.1018798503,116.476155989,119.445599441,109.519831382,9.90576805939,0.02
 01/02  12:00:00,225.050744498,29.4722964373,20.8412172741,10.532168608,37.1018798503,116.476155989,125.864962674,107.318713262,9.90576805939,8.6404813529
 01/02  13:00:00,213.879912983,29.5021328516,21.8285712834,9.16577050168,37.1018798503,104.434947198,115.015142222,105.089374163,9.90576805939,0.02
 01/02  14:00:00,224.275127052,29.5450685338,23.1845098599,7.91952901724,37.1018798503,116.476155989,121.928603247,103.382205196,9.90576805939,8.64062999184
 01/02  15:00:00,225.437451112,29.5931387189,25.0067135286,6.83615321822,37.1018798503,116.476155989,120.03334357,101.489042368,9.90576805939,8.6385331435
 01/02  16:00:00,225.747030643,29.6374381393,25.7629030727,6.05729336819,37.1018798503,116.476155989,110.080817195,100.155049135,9.90576805939,0.02
 01/02  17:00:00,225.516866526,29.6647682346,25.7613102166,5.58706847225,37.1018798503,116.476155989,117.799956865,99.2628238864,9.90576805939,8.63136491891
 01/02  18:00:00,240.282013253,29.687786729,25.7566119223,5.20025348951,37.1018798503,116.476155989,108.393979154,98.4682110945,9.90576805939,0.02
 01/02  19:00:00,141.829482839,27.731820898,22.3638724309,0.0,24.7345865669,47.5788473902,81.6222653288,76.6493812991,4.9528840297,0.02
 01/02  20:00:00,141.414951229,28.1637551123,20.6365604771,0.0,24.7345865669,47.5788473902,87.0446586838,82.0717746541,4.9528840297,0.02
 01/02  21:00:00,127.311892905,26.8679524696,18.8809724791,0.0,12.3672932834,38.6892022431,99.718091325,96.7263609072,2.97173041782,0.02
 01/02  22:00:00,92.9989474772,17.0710267531,11.4728401574,0.071871229698,12.3672932834,27.0668015668,69.3878796305,66.3961492127,2.97173041782,0.02
 01/02  23:00:00,83.7284638851,22.0300152128,13.5073458927,0.0,4.12243109448,15.9888894789,95.0385029753,92.0467725575,2.97173041782,0.02
 01/02  24:00:00,76.23996737,18.8334279701,10.3805526211,0.869036291593,4.12243109448,15.9888894789,79.0668807677,76.0751503498,2.97173041782,0.02
 01/03  01:00:00,83.2794481749,22.2459823199,12.3008355998,0.146239542734,4.12243109448,15.9888894789,108.72096869,97.1490890046,2.97173041782,8.60014926737
 01/03  02:00:00,74.9170470828,18.4878805987,9.52684229115,1.20361076462,4.12243109448,15.9888894789,80.9697848918,77.9780544739,2.97173041782,0.02
 01/03  03:00:00,85.1173513031,23.2394310126,11.2960732002,2.1966666241,4.12243109448,15.9888894789,102.613488692,99.6217582741,2.97173041782,0.02
 01/03  04:00:00,74.0255575462,18.0559463845,9.03866429736,0.997762233107,4.12243109448,15.9888894789,83.2008451908,80.209114773,2.97173041782,0.02
 01/03  05:00:00,113.316404646,28.4517112551,12.5695954838,3.8176917091,12.3672932834,24.9413748627,116.996081163,112.023197133,4.9528840297,0.02
