Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,56.3787932102,0.999159170146,0.0,0.0,15.863942322,29.242365,7.41349457607,4.18781457607,3.20568,0.02
 01/01  02:00:00,56.3920045985,0.999159170146,0.0,0.0,15.863942322,29.242365,6.39526107238,3.16958107238,3.20568,0.02
 01/01  03:00:00,56.7096769332,1.33221222686,0.0,0.0,15.863942322,29.242365,11.7678916205,5.67914888729,3.20568,2.88306273324
 01/01  04:00:00,57.031100276,1.66526528358,0.0,0.0,15.863942322,29.242365,11.8649660403,8.63928604033,3.20568,0.02
 01/01  05:00:00,56.9000916676,1.33221222686,0.0,0.0,15.863942322,29.242365,15.0989639539,9.01017177138,3.20568,2.88311218255
 01/01  06:00:00,58.1828294133,2.62907269971,0.0,0.0,15.863942322,29.242365,30.5680788249,27.3423988249,3.20568,0.02
 01/01  07:00:00,58.1382295518,2.57139319046,0.0,0.0,15.863942322,29.242365,38.6610325014,32.5721901234,3.20568,2.88316237802
 01/01  08:00:00,57.6220940133,2.12054047941,0.0,0.0,15.863942322,29.242365,19.0657348734,15.8400548734,3.20568,0.02
 01/01  09:00:00,48.2533594245,1.33221222686,0.0,0.0,15.863942322,29.242365,17.9320699545,11.8415214066,3.20568,2.88486854796
 01/01  10:00:00,48.5997889853,1.66526528358,0.0,0.0,15.863942322,29.242365,14.7775683478,11.5518883478,3.20568,0.02
 01/01  11:00:00,47.9185561442,0.999159170146,0.0,0.0,15.863942322,29.242365,10.3543473859,4.26379091561,3.20568,2.88487647027
 01/01  12:00:00,47.6410385996,0.0,0.0,0.0,15.863942322,29.242365,6.09056560397,0.0,3.20568,2.88488560397
 01/01  13:00:00,46.9090705524,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  14:00:00,46.9555632425,0.0,0.0,0.0,15.863942322,29.242365,6.09057471908,0.0,3.20568,2.88489471908
 01/01  15:00:00,46.9736214195,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,46.9608868261,0.0,0.0,0.0,15.863942322,29.242365,6.08875878179,0.0,3.20568,2.88307878179
 01/01  17:00:00,46.8593876108,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,55.425499064,0.0,0.0,0.0,15.863942322,29.242365,6.08880868332,0.0,3.20568,2.88312868332
 01/01  19:00:00,55.4193919635,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,55.6317503608,0.0,0.0,0.0,15.863942322,29.242365,6.08885852703,0.0,3.20568,2.88317852703
 01/01  21:00:00,55.615952824,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  22:00:00,56.5034439416,0.999159170146,0.0,0.0,15.863942322,29.242365,9.12245720013,3.03371784152,3.20568,2.88305935861
 01/01  23:00:00,57.0169171584,1.66526528358,0.0,0.0,15.863942322,29.242365,9.73644810988,6.51076810988,3.20568,0.02
 01/01  24:00:00,57.4230746663,1.33221222686,0.0,0.0,15.863942322,29.242365,9.5519278154,6.3262478154,3.20568,0.02
 01/02  01:00:00,57.0184116452,1.66526528358,0.0,0.0,15.863942322,29.242365,16.5475698149,10.4570123214,3.20568,2.88487749356
