Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.5790399454,2.18478139098,0.0,0.0,1.85583932782,5.577,37.0313147699,31.7180876334,3.0011,2.31212713651
 01/01  02:00:00,9.54363725583,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.55164433937,0.0,0.0,0.0,0.618613109274,5.0,3.59315798563,0.0,3.0011,0.592057985625
 01/01  04:00:00,9.54944579891,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.68708472837,0.0,0.0,0.0,0.618613109274,5.0,3.59318975455,0.0,3.0011,0.592089754546
 01/01  06:00:00,13.6888239011,2.18478139098,0.0,0.0,1.85583932782,5.577,48.2477589845,43.7261089845,4.50165,0.02
 01/01  07:00:00,28.1615513129,2.18478139098,0.0,0.0,3.71167865564,18.077,53.7541335203,38.5113578772,13.50495,1.73782564309
 01/01  08:00:00,28.1153047277,2.18478139098,0.0,0.0,3.71167865564,18.077,59.2612881121,36.5157231723,21.0077,1.73786493981
 01/01  09:00:00,20.5847829321,2.18478139098,0.0,0.0,3.71167865564,13.077,53.7790915642,37.608180647,15.0055,1.16541091716
 01/01  10:00:00,20.5942855169,2.18478139098,0.0,0.0,3.71167865564,13.077,52.8725329169,36.1287748168,15.0055,1.73825810007
 01/01  11:00:00,25.5930755298,2.18478139098,0.0,0.0,3.71167865564,18.077,68.7658857243,30.5638728739,33.0121,5.18991285039
 01/01  12:00:00,26.7554468854,2.18478139098,0.0,0.0,3.71167865564,18.077,71.1103148624,25.9805279138,40.51485,4.61493694859
 01/01  13:00:00,25.8304050947,2.18478139098,0.0,0.0,3.71167865564,18.077,62.3233202594,22.8460599572,36.0132,3.46406030216
 01/01  14:00:00,25.634555378,2.18478139098,0.0,0.0,3.71167865564,18.077,57.4601862269,21.911150282,31.51155,4.0374859449
 01/01  15:00:00,20.63548163,2.18478139098,0.0,0.0,3.71167865564,13.077,47.3163809549,23.4212410199,21.0077,2.88743993504
 01/01  16:00:00,20.6194587023,2.18478139098,0.0,0.0,3.71167865564,13.077,48.1094375478,25.7150535811,19.50715,2.88723396669
 01/01  17:00:00,20.5349221012,2.18478139098,0.0,0.0,3.71167865564,13.077,53.3662354816,27.3973147326,22.50825,3.46067074901
 01/01  18:00:00,28.0609953326,2.18478139098,0.0,0.0,3.71167865564,18.077,57.2464622751,28.2735547033,25.50935,3.46355757181
 01/01  19:00:00,28.0611975773,2.18478139098,0.0,0.0,3.71167865564,18.077,57.8697976607,27.744804085,25.50935,4.61564357569
 01/01  20:00:00,28.2038449381,2.18478139098,0.0,0.0,3.71167865564,18.077,58.4735476818,27.7760204366,25.50935,5.18817724525
 01/01  21:00:00,23.1887579054,2.18478139098,0.0,0.0,3.71167865564,13.077,55.2219775371,29.2507180206,22.50825,3.46300951644
 01/01  22:00:00,23.1224176476,2.18478139098,0.0,0.0,3.71167865564,13.077,56.1073073925,29.9107429572,21.0077,5.1888644353
 01/01  23:00:00,23.0195091107,2.18478139098,0.0,0.0,3.71167865564,13.077,52.9772479315,31.507836345,18.0066,3.46281158655
 01/01  24:00:00,24.2202264115,2.18478139098,0.0,0.0,3.71167865564,13.077,39.4077365074,34.094969696,3.0011,2.3116668114
 01/02  01:00:00,13.7425029443,2.18478139098,0.0,0.0,1.85583932782,5.577,45.2820442736,40.5427195998,3.0011,1.73822467389
 01/02  02:00:00,9.49864351211,0.0,0.0,0.0,0.618613109274,5.0,3.59319151198,0.0,3.0011,0.592091511982
 01/02  03:00:00,9.53015455182,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  04:00:00,9.5502309417,0.0,0.0,0.0,0.618613109274,5.0,3.5931456754,0.0,3.0011,0.5920456754
 01/02  05:00:00,9.70437132278,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  06:00:00,13.7208274868,2.18478139098,0.0,0.0,1.85583932782,5.577,43.013569177,37.919867558,4.50165,0.592051619037
 01/02  07:00:00,28.1975713881,2.18478139098,0.0,0.0,3.71167865564,18.077,45.7950368168,30.5521102259,13.50495,1.73797659094
 01/02  08:00:00,28.1579544699,2.18478139098,0.0,0.0,3.71167865564,18.077,51.5982613573,25.397332666,21.0077,5.19322869132
 01/02  09:00:00,20.6397022998,2.18478139098,0.0,0.0,3.71167865564,13.077,43.9205971687,23.7238670407,15.0055,5.19123012806
 01/02  10:00:00,20.6628817081,2.18478139098,0.0,0.0,3.71167865564,13.077,40.1801065682,20.5614119422,15.0055,4.61319462593
 01/02  11:00:00,25.6661414898,2.18478139098,0.0,0.0,3.71167865564,18.077,52.488711948,15.4396176151,33.0121,4.03699433293
 01/02  12:00:00,26.7985770973,2.18478139098,0.0,0.0,3.71167865564,18.077,54.9286596393,10.3747527763,40.51485,4.03905686295
 01/02  13:00:00,25.9111628564,2.18478139098,0.0,0.0,3.71167865564,18.077,45.5197926883,5.46913920164,36.0132,4.03745348668
 01/02  14:00:00,25.7311878291,2.18478139098,0.0,0.0,3.71167865564,18.077,38.2476189954,3.27455660709,31.51155,3.46151238829
 01/02  15:00:00,20.7583024232,2.18478139098,0.0,0.0,3.71167865564,13.077,28.0026307683,4.10820096413,21.0077,2.88672980416
 01/02  16:00:00,20.7508877511,2.18478139098,0.0,0.0,3.71167865564,13.077,27.2101466228,4.81623520042,19.50715,2.88676142239
 01/02  17:00:00,20.6689603503,2.18478139098,0.0,0.0,3.71167865564,13.077,30.012092847,4.6173536358,22.50825,2.88648921121
 01/02  18:00:00,28.2073609438,2.18478139098,0.0,0.0,3.71167865564,18.077,31.5370356563,1.99050577129,25.50935,4.03717988499
 01/02  19:00:00,28.2136483075,2.18478139098,0.0,0.0,3.71167865564,18.077,32.6366529244,1.9365203391,25.50935,5.19078258531
 01/02  20:00:00,28.3468930058,2.18478139098,0.0,0.0,3.71167865564,18.077,34.8287834065,3.55129491351,25.50935,5.76813849299
 01/02  21:00:00,23.2921774089,2.18478139098,0.0,0.0,3.71167865564,13.077,34.2098607089,7.08818889521,22.50825,4.6134218137
 01/02  22:00:00,23.202451716,2.18478139098,0.0,0.0,3.71167865564,13.077,37.5049226621,11.3062385512,21.0077,5.19098411093
 01/02  23:00:00,23.0824111709,2.18478139098,0.0,0.0,3.71167865564,13.077,38.7513015692,16.7067660676,18.0066,4.03793550162
 01/02  24:00:00,24.2479646662,2.18478139098,0.0,0.0,3.71167865564,13.077,27.7779048441,21.8911039559,3.0011,2.88570088821
 01/03  01:00:00,13.7832817242,2.18478139098,0.0,0.0,1.85583932782,5.577,34.2739495113,29.53439822,3.0011,1.73845129129
 01/03  02:00:00,9.53635617045,0.0,0.0,0.0,0.618613109274,5.0,3.59317923777,0.0,3.0011,0.592079237767
 01/03  03:00:00,9.5588788735,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  04:00:00,9.57086194484,0.0,0.0,0.0,0.618613109274,5.0,3.5931851499,0.0,3.0011,0.592085149898
 01/03  05:00:00,10.2335562629,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  06:00:00,14.2378634036,2.18478139098,0.0,0.0,1.85583932782,5.577,41.8147423088,36.721001278,4.50165,0.592091030747
 01/03  07:00:00,28.4291965168,2.18478139098,0.0,0.0,3.71167865564,18.077,44.9879062048,30.3174616883,13.50495,1.16549451651
 01/03  08:00:00,28.1559839001,2.18478139098,0.0,0.0,3.71167865564,18.077,53.2013421358,26.4250189219,21.0077,5.7686232139
 01/03  09:00:00,20.6256438154,2.18478139098,0.0,0.0,3.71167865564,13.077,47.7983371902,27.6010746969,15.0055,5.19176249329
 01/03  10:00:00,20.6366060247,2.18478139098,0.0,0.0,3.71167865564,13.077,47.3997410392,27.7812706157,15.0055,4.61297042347
 01/03  11:00:00,25.6315712814,2.18478139098,0.0,0.0,3.71167865564,18.077,61.5718312889,25.0966686718,33.0121,3.46306261713
 01/03  12:00:00,26.7821337473,2.18478139098,0.0,0.0,3.71167865564,18.077,66.0062994273,20.8779829394,40.51485,4.6134664879
 01/03  13:00:00,25.8621706146,2.18478139098,0.0,0.0,3.71167865564,18.077,58.5618844136,18.5118783623,36.0132,4.0368060513
 01/03  14:00:00,25.6612919054,2.18478139098,0.0,0.0,3.71167865564,18.077,54.4740753509,19.5011571096,31.51155,3.46136824129
 01/03  15:00:00,20.6613639868,2.18478139098,0.0,0.0,3.71167865564,13.077,46.1703770355,22.2752464195,21.0077,2.88743061598
 01/03  16:00:00,20.6461031256,2.18478139098,0.0,0.0,3.71167865564,13.077,47.1644609473,24.7702009913,19.50715,2.88710995608
 01/03  17:00:00,20.5671045211,2.18478139098,0.0,0.0,3.71167865564,13.077,50.3886926834,24.9930401676,22.50825,2.88740251578
 01/03  18:00:00,28.0954599489,2.18478139098,0.0,0.0,3.71167865564,18.077,51.8876484506,22.3412644043,25.50935,4.03703404627
 01/03  19:00:00,28.0952412211,2.18478139098,0.0,0.0,3.71167865564,18.077,53.2150590687,22.5149482803,25.50935,5.19076078842
 01/03  20:00:00,28.0966450028,2.18478139098,0.0,0.0,3.71167865564,18.077,53.7732476531,22.4957026987,25.50935,5.7681949544
 01/03  21:00:00,23.0877299615,2.18478139098,0.0,0.0,3.71167865564,13.077,51.5317196315,24.4099981939,22.50825,4.61347143767
 01/03  22:00:00,23.0506078293,2.18478139098,0.0,0.0,3.71167865564,13.077,51.2523516279,25.0532648048,21.0077,5.19138682309
