Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,122.06041724,4.56615722731,0.0,0.0,43.513341876,52.539744,71.5743312724,66.7200712724,4.83426,0.02
 01/01  02:00:00,123.12844964,5.61903150807,0.0,0.0,43.513341876,52.539744,60.2179782834,55.3637182834,4.83426,0.02
 01/01  03:00:00,125.717621565,8.21464724281,0.0,0.0,43.513341876,52.539744,84.7512193602,79.8969593602,4.83426,0.02
 01/01  04:00:00,133.169010997,15.71430358,0.0,0.0,43.513341876,52.539744,73.2389329266,68.3846729266,4.83426,0.02
 01/01  05:00:00,127.697914747,9.80245771978,0.0,0.0,43.513341876,52.539744,109.917731948,96.4699614193,4.83426,8.61351052916
 01/01  06:00:00,134.043463552,16.2085643741,0.0,0.0,43.513341876,52.539744,86.5151027531,81.6608427531,4.83426,0.02
 01/01  07:00:00,145.356460289,27.4412278328,0.0,0.0,43.513341876,52.539744,131.199410096,126.345150096,4.83426,0.02
 01/01  08:00:00,132.067529846,14.3385228563,0.0,0.0,43.513341876,52.539744,80.449339641,75.595079641,4.83426,0.02
 01/01  09:00:00,117.69114297,17.8514938227,0.0,0.0,43.513341876,52.539744,109.702992246,104.848732246,4.83426,0.02
 01/01  10:00:00,103.85938042,4.0312210311,0.0,0.0,43.513341876,52.539744,83.021332528,69.5656762526,4.83426,8.62139627536
 01/01  11:00:00,104.860711855,5.03902628887,0.0,0.0,43.513341876,52.539744,79.8966993529,75.0424393529,4.83426,0.02
 01/01  12:00:00,104.77224296,4.0312210311,0.0,0.0,43.513341876,52.539744,47.4030694435,42.5488094435,4.83426,0.02
 01/01  13:00:00,104.800140105,5.03902628887,0.0,0.0,43.513341876,52.539744,52.9214202738,39.4656867175,4.83426,8.62147355622
 01/01  14:00:00,103.859647661,4.0312210311,0.0,0.0,43.513341876,52.539744,27.8115980045,22.9573380045,4.83426,0.02
 01/01  15:00:00,103.706690356,3.85685363497,0.0,0.0,43.513341876,52.539744,22.6706207221,17.8163607221,4.83426,0.02
 01/01  16:00:00,103.845336178,4.0312210311,0.0,0.0,43.513341876,52.539744,20.3982349831,15.5439749831,4.83426,0.02
 01/01  17:00:00,103.636363592,4.0312210311,0.0,0.0,43.513341876,52.539744,29.7397624419,16.2919763994,4.83426,8.61352604253
 01/01  18:00:00,121.372051241,3.85685363497,0.0,0.0,43.513341876,52.539744,25.3910913832,20.5368313832,4.83426,0.02
 01/01  19:00:00,122.556187413,5.03902628887,0.0,0.0,43.513341876,52.539744,37.5158170933,32.6615570933,4.83426,0.02
 01/01  20:00:00,121.977119335,4.0312210311,0.0,0.0,43.513341876,52.539744,39.1786047512,34.3243447512,4.83426,0.02
 01/01  21:00:00,122.971477836,5.03902628887,0.0,0.0,43.513341876,52.539744,52.0913020169,47.2370420169,4.83426,0.02
 01/01  22:00:00,121.757927345,4.0312210311,0.0,0.0,43.513341876,52.539744,75.8139358402,62.3660786915,4.83426,8.61359714876
 01/01  23:00:00,127.233414746,9.80245771978,0.0,0.0,43.513341876,52.539744,79.8981534339,75.0438934339,4.83426,0.02
 01/01  24:00:00,134.630067906,16.2085643741,0.0,0.0,43.513341876,52.539744,79.7413947082,74.8871347082,4.83426,0.02
 01/02  01:00:00,126.057595636,8.61159986206,0.0,0.0,43.513341876,52.539744,91.3896996394,86.5354396394,4.83426,0.02
 01/02  02:00:00,133.659918568,16.2085643741,0.0,0.0,43.513341876,52.539744,99.7094326292,86.2534129556,4.83426,8.62175967359
 01/02  03:00:00,126.472542621,9.0085524813,0.0,0.0,43.513341876,52.539744,88.5883551864,83.7340951864,4.83426,0.02
 01/02  04:00:00,132.882499526,15.4146591356,0.0,0.0,43.513341876,52.539744,81.4685463146,76.6142863146,4.83426,0.02
 01/02  05:00:00,126.123196113,8.21464724281,0.0,0.0,43.513341876,52.539744,93.8118054204,80.3564983225,4.83426,8.62104709791
 01/02  06:00:00,125.482641726,7.60379460428,0.0,0.0,43.513341876,52.539744,79.5133024056,74.6590424056,4.83426,0.02
 01/02  07:00:00,194.993412382,72.7033861519,0.00304002132708,0.0,43.513341876,53.238744,2422.1653126,2417.3110526,4.83426,0.02
 01/02  08:00:00,370.977767321,72.7033861519,0.0,0.0,220.879908,53.238744,1594.87770366,1563.61043959,4.83426,26.4330040678
 01/02  09:00:00,444.436992129,72.7033861519,0.00262368873264,0.0,220.879908,145.652643033,1216.40091962,1144.62031734,36.25695,35.5236522819
 01/02  10:00:00,444.130495762,72.7033861519,0.00253470385232,0.0,220.879908,145.652643033,1033.58831366,943.38027029,36.25695,53.9510933752
 01/02  11:00:00,449.973866776,72.7033861519,0.0015470509302,0.0,220.879908,151.653867033,909.799229163,816.427853134,48.3426,45.0287760292
 01/02  12:00:00,450.831088852,72.7033861519,0.0,0.0,220.879908,151.653867033,779.4590086,676.834380493,48.3426,54.2820281073
 01/02  13:00:00,449.812978381,72.7033861519,0.0,0.0,220.879908,151.653867033,679.573471671,567.69574321,48.3426,63.535128461
 01/02  14:00:00,443.795083675,72.7033861519,0.0,0.0,220.879908,145.652643033,547.78050397,469.042237365,24.1713,54.5669666056
 01/02  15:00:00,443.770865085,72.7033861519,0.0,0.0,220.879908,145.652643033,418.519949605,340.373815823,24.1713,53.9748337814
 01/02  16:00:00,435.907833986,72.7033861519,0.0,0.0,220.879908,137.835547516,291.089439381,241.184278239,4.83426,45.0709011416
 01/02  17:00:00,430.856012224,72.7033861519,0.0,0.0,220.879908,133.019064,177.13303047,127.629944058,4.83426,44.6688264124
 01/02  18:00:00,369.012961414,72.7033861519,0.0,0.0,220.879908,53.238744,256.986342472,207.485505275,4.83426,44.6665771968
 01/02  19:00:00,369.028491266,72.7033861519,0.0,0.0,220.879908,53.238744,277.743885045,228.0458256,4.83426,44.863799445
 01/02  20:00:00,369.457800003,72.7033861519,0.0,0.0,220.879908,53.238744,336.589470817,323.052213465,4.83426,8.70299735223
 01/02  21:00:00,369.434325076,72.7033861519,0.0,0.0,220.879908,53.238744,496.442400733,474.246816988,4.83426,17.3613237446
 01/02  22:00:00,117.8016218,0.0,0.0,0.0,43.513341876,52.539744,13.5257495354,0.0,4.83426,8.69148953539
 01/02  23:00:00,117.543909796,0.0,0.0,0.0,43.513341876,52.539744,13.4839357905,0.0,4.83426,8.64967579049
 01/02  24:00:00,118.567242112,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  01:00:00,117.574981793,0.0,0.0,0.0,43.513341876,52.539744,13.4557235059,0.0,4.83426,8.62146350595
 01/03  02:00:00,117.566839273,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  03:00:00,117.549506411,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  04:00:00,117.539838104,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  05:00:00,119.651793555,0.0,0.0,0.0,43.513341876,52.539744,13.4558302888,0.0,4.83426,8.62157028881
 01/03  06:00:00,119.307469797,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  07:00:00,193.935256202,72.7033861519,0.0,0.0,43.513341876,53.238744,1858.18673508,1853.33247508,4.83426,0.02
 01/03  08:00:00,370.388704491,72.7033861519,0.0,0.0,220.879908,53.238744,1455.40911727,1419.2407991,4.83426,31.3340581743
 01/03  09:00:00,444.766336494,72.7033861519,0.00170493643238,0.0,220.879908,145.652643033,1237.94327828,1165.95475958,36.25695,35.7315687085
 01/03  10:00:00,444.769516214,72.7033861519,0.0022610346851,0.0,220.879908,145.652643033,1163.17055604,1078.17105665,36.25695,48.7425493887
 01/03  11:00:00,450.748996375,72.7033861519,0.00146204290409,0.0,220.879908,151.653867033,1140.13130916,1046.76409575,48.3426,45.0246134085
 01/03  12:00:00,451.551807318,72.7033861519,0.0,0.0,220.879908,151.653867033,1044.80652633,942.137298387,48.3426,54.32662794
 01/03  13:00:00,450.507608761,72.7033861519,0.0,0.0,220.879908,151.653867033,1043.70558841,931.86362792,48.3426,63.49936049
 01/03  14:00:00,444.593301817,72.7033861519,0.0,0.0,220.879908,145.652643033,1055.60600461,976.851514222,24.1713,54.5831903885
 01/03  15:00:00,444.582079031,72.7033861519,0.0,0.0,220.879908,145.652643033,1045.1938475,967.035093402,24.1713,53.9874540986
 01/03  16:00:00,436.721659954,72.7033861519,0.0,0.0,220.879908,137.835547516,979.391717915,920.478489841,4.83426,54.0789680748
 01/03  17:00:00,431.674986666,72.7033861519,0.0,0.0,220.879908,133.019064,857.048314106,816.471552672,4.83426,35.7425014341
 01/03  18:00:00,369.925994174,72.7033861519,0.0,0.0,220.879908,53.238744,982.704056802,933.200641232,4.83426,44.66915557
 01/03  19:00:00,370.014369479,72.7033861519,0.0,0.0,220.879908,53.238744,1009.16605571,959.467403962,4.83426,44.8643917427
 01/03  20:00:00,369.987514592,72.7033861519,0.0,0.0,220.879908,53.238744,987.614666369,965.394459094,4.83426,17.3859472747
 01/03  21:00:00,370.10193326,72.7033861519,0.0,0.0,220.879908,53.238744,1022.01269543,1008.48722205,4.83426,8.69121337526
 01/03  22:00:00,117.392745174,0.0,0.0,0.0,43.513341876,52.539744,13.5242932494,0.0,4.83426,8.69003324937
 01/03  23:00:00,117.479015433,0.0,0.0,0.0,43.513341876,52.539744,13.4840015501,0.0,4.83426,8.64974155009
 01/03  24:00:00,118.549105192,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  01:00:00,117.528001711,0.0,0.0,0.0,43.513341876,52.539744,13.4559457701,0.0,4.83426,8.62168577009
 01/04  02:00:00,117.526690263,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  03:00:00,117.520733469,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  04:00:00,117.515601837,0.0,0.0,0.0,43.513341876,52.539744,13.456064905,0.0,4.83426,8.62180490499
 01/04  05:00:00,118.986562667,1.04620437677,0.0,0.0,43.513341876,52.539744,5.1354042156,0.281144215596,4.83426,0.02
 01/04  06:00:00,118.95341557,1.04620437677,0.0,0.0,43.513341876,52.539744,5.16011107056,0.30585107056,4.83426,0.02
 01/04  07:00:00,193.984221861,72.7033861519,0.0,0.0,43.513341876,53.238744,1761.96195251,1748.5061438,4.83426,8.62154871518
 01/04  08:00:00,371.494826857,72.7033861519,0.0,0.0,220.879908,53.238744,1608.91502443,1577.6476911,4.83426,26.4330733301
