Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,37.5192044967,5.41054780772,0.688464363164,0.853644081894,12.925468867,10.100111941,26.209392027,26.189392027,0.0,0.02
 01/01  02:00:00,37.5237786027,5.40117148833,0.590735054608,0.966564945909,12.925468867,10.100111941,30.3148725881,24.5531465273,0.0,5.76172606081
 01/01  03:00:00,33.4205845202,5.39275988783,0.295352553038,1.78620139713,8.34152022915,10.0650221343,33.7872522283,28.0255913642,0.0,5.76166086414
 01/01  04:00:00,33.8503699475,5.39316418303,0.15305366719,2.35788256069,8.34152022915,10.0650221343,36.8428294074,31.0812414611,0.0,5.76158794633
 01/01  05:00:00,36.2267195777,5.41592376083,0.0974109954812,3.16037855672,8.34152022915,11.6705166398,39.6013693817,33.8332835834,0.0,5.76808579831
 01/01  06:00:00,41.246457841,5.44377219552,0.0532998417561,4.03794909634,8.80141237637,15.3678112995,40.7462823714,34.9706215472,0.0,5.77566082421
 01/01  07:00:00,60.7307895198,5.43730274809,0.209425777313,3.3957818115,18.5082010057,25.6353820695,40.8733255027,35.0853190675,0.0,5.78800643523
 01/01  08:00:00,76.6233713261,5.50630588967,1.24672618385,1.72666609964,19.4926561212,41.1001056674,51.6467978291,34.2117054612,0.0,17.4350923679
 01/01  09:00:00,94.2283710811,5.69414772057,3.28573798668,0.882967519033,26.3286599382,57.9988325916,69.2619150077,27.6618426393,0.0,41.6000723684
 01/01  10:00:00,79.8461304217,5.55277191149,4.03558384835,1.16628283141,26.2443270014,42.8153538416,73.4417036964,25.8849466536,18.025,29.5317570428
 01/01  11:00:00,56.1474910512,5.44785845566,3.1005308837,2.38258929677,21.7447113004,23.4437158914,72.4124453576,24.9628567129,18.025,29.4245886446
 01/01  12:00:00,53.9272640775,5.46101851229,3.21893656928,2.4330770334,19.3449162599,23.4437158914,70.9757454423,23.6033122849,18.025,29.3474331575
 01/01  13:00:00,53.9449677428,5.50578443296,3.49540603881,1.98762564986,19.190480192,23.7425572507,63.5104971483,22.0701835702,18.025,23.4153135781
 01/01  14:00:00,53.4586632253,5.49220405051,3.50134265112,1.48284338146,19.260583323,23.698576057,59.9872918853,18.5454810821,18.025,23.4168108032
 01/01  15:00:00,53.0213289308,5.4801146265,3.55918570498,0.999755227286,19.260583323,23.698576057,59.0972679852,17.6562785619,18.025,23.4159894233
 01/01  16:00:00,52.1705111795,5.42053756077,3.17638931651,0.881260531102,19.260583323,23.4086260847,61.5439669648,20.1012877667,18.025,23.4176791982
 01/01  17:00:00,55.7018832219,5.40983546884,2.27025971394,0.878124656716,19.260583323,27.8781056672,44.8344821469,21.0407407017,18.025,5.76874144514
 01/01  18:00:00,70.2426408694,5.4362804224,0.955212210418,0.548887360588,18.1807569449,37.5792895564,29.2611219306,23.4854895454,0.0,5.77563238524
 01/01  19:00:00,84.8693985728,5.53883521445,1.81578658481,0.318813675679,32.6059821062,37.0465235296,33.8102837634,28.0274192892,0.0,5.78286447425
 01/01  20:00:00,85.7264070088,5.61998388978,2.45703582255,0.222090300554,36.8143715336,33.066984531,40.2428617034,28.668723249,0.0,11.5741384544
 01/01  21:00:00,91.9454595744,5.73213884128,3.23599238588,0.190530316355,36.43363367,38.8072253906,41.3532119203,29.7807879318,0.0,11.5724239885
 01/01  22:00:00,89.6076404856,5.74151866556,3.22234638545,0.213685487862,36.0963922311,36.7877557581,41.7682430644,30.1940819668,0.0,11.5741610977
