Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,77.9656209894,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,77.759059441,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,76.5854706704,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91560681896,0.0,1.75125,1.16435681896
 01/01  04:00:00,88.4603372439,12.3156826563,0.0,0.0,3.49369000822,6.81298672936,21.609002887,19.837752887,1.75125,0.02
 01/01  05:00:00,94.7176669861,12.3156826563,0.0,0.0,3.49369000822,6.81298672936,24.6457765373,22.8745265373,1.75125,0.02
 01/01  06:00:00,90.0059798521,8.2104551042,0.0,0.0,3.49369000822,6.81298672936,21.7385510106,18.8230185878,1.75125,1.16428242279
 01/01  07:00:00,123.930807153,28.8195604772,0.0,0.0,6.98738001645,14.1499734587,461.047284397,457.524784397,3.5025,0.02
 01/01  08:00:00,133.038708877,28.8195604772,0.0,0.0,6.98738001645,14.1499734587,426.802551441,423.280051441,3.5025,0.02
 01/01  09:00:00,154.800723676,28.8195604772,0.0,0.0,6.98738001645,14.1499734587,379.989355389,375.322470603,3.5025,1.16438478532
 01/01  10:00:00,127.519078474,28.8195604772,0.0,0.0,6.98738001645,14.1499734587,364.934908172,361.412408172,3.5025,0.02
 01/01  11:00:00,162.180626513,28.8195604772,0.0,0.0,27.9495200658,27.7759469175,326.479288074,318.309530112,7.005,1.16475796243
 01/01  12:00:00,193.526946627,28.8195604772,0.0,0.0,27.9495200658,27.7759469175,306.695995635,298.526190721,7.005,1.16480491381
 01/01  13:00:00,200.838437909,28.8195604772,0.0,0.0,41.9242800987,36.8599292233,271.863911168,261.358905475,9.34,1.16500569292
 01/01  14:00:00,198.437372858,28.8195604772,0.0,0.0,41.9242800987,36.8599292233,257.42571147,246.920773235,9.34,1.16493823498
 01/01  15:00:00,194.712408629,28.8195604772,0.0,0.0,41.9242800987,36.8599292233,248.915339058,238.410329371,9.34,1.1650096877
 01/01  16:00:00,191.251962416,28.8195604772,0.0,0.0,41.9242800987,36.8599292233,252.060017575,241.555073688,9.34,1.164943887
 01/01  17:00:00,191.152800819,28.8195604772,0.0,0.0,41.9242800987,36.8599292233,255.821067571,245.316133576,9.34,1.1649339947
 01/01  18:00:00,176.083464646,28.8195604772,0.0,0.0,27.9495200658,27.7759469175,306.063443908,299.038443908,7.005,0.02
 01/01  19:00:00,182.292125264,28.8195604772,0.0,0.0,13.9747600329,18.6919646116,331.000045375,325.165286579,4.67,1.16475879594
 01/01  20:00:00,162.445277287,28.8195604772,0.0,0.0,13.9747600329,18.6919646116,336.689170362,330.854455,4.67,1.16471536229
 01/01  21:00:00,153.678388911,28.8195604772,0.0,0.0,13.9747600329,18.6919646116,340.23358788,334.398981403,4.67,1.16460647711
 01/01  22:00:00,139.282651054,28.8195604772,0.0,0.0,13.9747600329,18.6919646116,297.970077712,293.280077712,4.67,0.02
 01/01  23:00:00,78.2486403229,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91559936207,0.0,1.75125,1.16434936207
 01/01  24:00:00,114.20484942,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/02  01:00:00,85.7855696081,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,79.2665478954,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,87.7343302674,8.2104551042,0.0,0.0,3.49369000822,9.08398230582,16.0133386017,12.5140429012,2.335,1.16429570049
 01/02  04:00:00,88.5107186203,8.2104551042,0.0,0.0,3.49369000822,9.08398230582,14.7931465089,12.4381465089,2.335,0.02
 01/02  05:00:00,95.5065341517,8.2104551042,0.0,0.0,3.49369000822,9.08398230582,15.5086592852,13.1536592852,2.335,0.02
 01/02  06:00:00,95.5487723481,8.2104551042,0.0,0.0,3.49369000822,9.08398230582,16.2352221175,12.7359461077,2.335,1.16427600981
 01/02  07:00:00,140.511162137,28.8195604772,0.0,0.0,13.9747600329,18.6919646116,382.349318508,377.659318508,4.67,0.02
 01/02  08:00:00,150.933128823,28.8195604772,0.0,0.0,13.9747600329,18.6919646116,337.38299619,331.548525977,4.67,1.16447021313
 01/02  09:00:00,213.915854377,28.8195604772,0.0,0.0,34.9369000822,32.3179380704,287.027668661,278.835168661,8.1725,0.02
 01/02  10:00:00,239.67341598,28.8195604772,0.00853178392099,0.0,62.886420148,41.4019203762,241.677891772,230.005491392,10.5075,1.16490037951
 01/02  11:00:00,229.653502907,28.8195604772,0.0,0.0,62.886420148,41.4019203762,220.422033227,208.749513473,10.5075,1.16501975394
 01/02  12:00:00,260.064170229,28.8195604772,0.0,0.0,62.886420148,41.4019203762,198.909071524,187.236067198,10.5075,1.16550432567
 01/02  13:00:00,241.437152993,28.8195604772,0.238747287814,0.0,62.886420148,41.4019203762,182.939850791,170.121354309,10.5075,2.31099648163
 01/02  14:00:00,239.595174964,28.8195604772,0.527950112776,0.0,62.886420148,41.4019203762,162.802127064,151.129217434,10.5075,1.16540963089
 01/02  15:00:00,238.176416952,28.8195604772,0.797529944467,0.0,62.886420148,41.4019203762,144.298222494,132.625521736,10.5075,1.16520075813
 01/02  16:00:00,235.625821486,28.8195604772,0.948144124832,0.0,62.886420148,41.4019203762,134.844653981,122.026780592,10.5075,2.31037338915
 01/02  17:00:00,235.648152797,28.8195604772,0.971295908222,0.0,62.886420148,41.4019203762,133.675592312,122.002851055,10.5075,1.16524125671
 01/02  18:00:00,248.957861028,28.8195604772,0.969311777054,0.0,62.886420148,41.4019203762,136.600801091,124.928172109,10.5075,1.16512898262
 01/02  19:00:00,247.68574799,28.8195604772,0.677529931264,0.0,41.9242800987,36.8599292233,143.441238014,132.936143131,9.34,1.16509488313
 01/02  20:00:00,233.205962486,28.8195604772,0.467237355084,0.0,41.9242800987,36.8599292233,158.488831288,147.983960831,9.34,1.16487045723
 01/02  21:00:00,204.602387832,28.8195604772,0.0525161881661,0.0,34.9369000822,32.3179380704,178.18597908,168.848543085,8.1725,1.16493599551
 01/02  22:00:00,144.906283339,28.8195604772,0.0,0.0,13.9747600329,18.6919646116,160.700527589,156.010527589,4.67,0.02
 01/02  23:00:00,86.2315919107,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49949775696,0.0,2.335,1.16449775696
 01/02  24:00:00,120.809666239,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  01:00:00,90.4734016958,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  02:00:00,82.8947287713,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49930601791,0.0,2.335,1.16430601791
 01/03  03:00:00,82.0536589915,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  04:00:00,81.4720461874,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  05:00:00,103.338432009,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49923475043,0.0,2.335,1.16423475043
 01/03  06:00:00,102.878065701,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  07:00:00,156.905841091,28.8195604772,0.0,0.0,13.9747600329,18.6919646116,364.435240684,359.745240684,4.67,0.02
 01/03  08:00:00,160.66742712,28.8195604772,0.0,0.0,13.9747600329,18.6919646116,330.591735602,324.757196088,4.67,1.16453951377
 01/03  09:00:00,214.44377032,28.8195604772,0.0,0.0,34.9369000822,32.3179380704,295.073064722,285.73592658,8.1725,1.1646381422
 01/03  10:00:00,240.068057438,28.8195604772,0.0,0.0,62.886420148,41.4019203762,259.631726259,249.104226259,10.5075,0.02
 01/03  11:00:00,230.34150272,28.8195604772,0.0,0.0,62.886420148,41.4019203762,250.361369836,238.688775184,10.5075,1.16509465217
 01/03  12:00:00,261.064904514,28.8195604772,0.0,0.0,62.886420148,41.4019203762,233.436360185,220.617838203,10.5075,2.31102198239
 01/03  13:00:00,241.780331204,28.8195604772,0.0,0.0,62.886420148,41.4019203762,227.506395907,215.833211121,10.5075,1.16568478584
 01/03  14:00:00,238.732857814,28.8195604772,0.0,0.0,62.886420148,41.4019203762,226.601693859,213.783334978,10.5075,2.31085888104
 01/03  15:00:00,235.131011667,28.8195604772,0.0,0.0,62.886420148,41.4019203762,219.247621268,207.574969619,10.5075,1.16515164934
 01/03  16:00:00,232.373633622,28.8195604772,0.0,0.0,62.886420148,41.4019203762,216.449141306,204.77646835,10.5075,1.16517295537
 01/03  17:00:00,232.928854827,28.8195604772,0.0,0.0,62.886420148,41.4019203762,218.134709111,206.461904946,10.5075,1.16530416482
 01/03  18:00:00,245.920604245,28.8195604772,0.0,0.0,62.886420148,41.4019203762,225.242660835,213.569972523,10.5075,1.1651883117
 01/03  19:00:00,243.673062154,28.8195604772,0.0,0.0,41.9242800987,36.8599292233,235.098429522,224.593251338,9.34,1.16517818386
 01/03  20:00:00,221.565462425,28.8195604772,0.0,0.0,41.9242800987,36.8599292233,242.742701721,232.237710924,9.34,1.16499079768
 01/03  21:00:00,196.304897642,28.8195604772,0.0,0.0,34.9369000822,32.3179380704,251.001866846,241.664506238,8.1725,1.16486060795
 01/03  22:00:00,140.078361662,28.8195604772,0.0,0.0,13.9747600329,18.6919646116,220.244303332,214.409694796,4.67,1.16460853611
 01/03  23:00:00,86.4975243943,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/03  24:00:00,121.277902761,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49933849816,0.0,2.335,1.16433849816
 01/04  01:00:00,90.356279695,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  02:00:00,82.9858392162,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  03:00:00,82.2670077137,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/04  04:00:00,81.6364188688,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49928297401,0.0,2.335,1.164282974
 01/04  05:00:00,96.0044415662,8.2104551042,0.0,0.0,3.49369000822,9.08398230582,15.1260924823,12.7710924823,2.335,0.02
 01/04  06:00:00,95.5928299662,8.2104551042,0.0,0.0,3.49369000822,9.08398230582,15.9649443015,13.6099443015,2.335,0.02
 01/04  07:00:00,139.989120587,28.8195604772,0.0,0.0,13.9747600329,18.6919646116,387.116732409,381.28246181,4.67,1.16427059946
 01/04  08:00:00,149.270407899,28.8195604772,0.0,0.0,13.9747600329,18.6919646116,358.322627866,353.632627866,4.67,0.02
 01/04  09:00:00,211.660239132,28.8195604772,0.0,0.0,34.9369000822,32.3179380704,325.425225528,316.088068049,8.1725,1.1646574784
 01/04  10:00:00,236.763191852,28.8195604772,0.0,0.0,62.886420148,41.4019203762,286.788969733,275.116654167,10.5075,1.16481556593
 01/04  11:00:00,227.567336413,28.8195604772,0.0,0.0,62.886420148,41.4019203762,269.621484997,257.949004877,10.5075,1.16498011982
 01/04  12:00:00,258.535958191,28.8195604772,0.0,0.0,62.886420148,41.4019203762,251.552396623,239.879355166,10.5075,1.16554145651
 01/04  13:00:00,238.548566263,28.8195604772,0.0,0.0,62.886420148,41.4019203762,249.646463708,236.82783967,10.5075,2.31112403759
